,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.68,0.88,0.87,0.78,0.69,0.46,0.74,0.45,0.42,0.39,0.37,0.37,0.38,,0.27
f_1,1.46,1.0,0.78,0.86,0.99,0.93,0.38,0.47,0.47,0.45,0.36,,0.27,0.29,0.33,0.33
d_1,1.14,1.28,1.0,1.0,0.76,0.8,0.64,,0.35,0.49,0.38,0.46,0.37,0.27,0.41,0.24
c_1,1.15,1.16,1.0,1.0,1.16,0.72,0.58,0.36,0.5,,0.49,0.4,0.34,0.44,0.36,0.33
b_1,1.29,1.01,1.31,0.87,1.0,1.35,0.38,0.42,0.54,0.61,,0.44,0.4,0.4,,0.33
a_1,1.46,1.08,1.25,1.4,0.74,1.0,0.71,0.53,0.67,0.44,0.66,0.47,0.63,,,0.45
h_1,2.17,2.61,1.57,1.74,2.6,1.42,1.0,1.0,0.82,0.7,0.88,0.7,,0.56,0.73,0.86
d_0,1.35,2.14,,2.81,2.36,1.89,1.0,1.0,0.92,0.76,0.95,0.85,0.8,0.74,0.71,0.77
g_1,2.23,2.12,2.82,2.01,1.84,1.5,1.22,1.09,1.0,1.08,0.68,1.08,0.73,0.99,0.69,
c_0,2.39,2.24,2.06,,1.65,2.29,1.43,1.31,0.92,1.0,1.37,0.9,0.73,0.83,0.56,0.68
b_0,2.56,2.79,2.62,2.03,,1.52,1.13,1.05,1.47,0.73,1.0,1.15,0.9,0.97,0.87,0.85
f_0,2.68,,2.16,2.51,2.25,2.13,1.43,1.18,0.93,1.11,0.87,1.0,1.02,0.77,1.11,0.67
h_0,2.72,3.69,2.72,2.9,2.49,1.58,,1.25,1.36,1.37,1.11,0.98,,0.79,0.74,1.33
a_0,2.64,3.42,3.71,2.3,2.5,,1.79,1.35,1.01,1.2,1.03,1.3,1.27,1.0,,0.84
e_0,,2.99,2.44,2.8,,,1.37,1.4,1.44,1.77,1.16,0.9,1.35,,1.0,1.04
g_0,3.76,3.07,4.11,3.01,3.0,2.2,1.16,1.3,,1.48,1.18,1.49,0.75,1.19,0.96,
