,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.53,2.49,2.78,3.3,2.72,0.59,0.57,0.9,0.54,0.57,0.76,0.32,0.52,0.54,0.5
e_1,1.9,1.1,2.95,3.19,2.87,2.83,0.98,0.69,0.92,0.74,0.54,0.78,0.49,0.66,1.15,0.54
d_1,3.55,3.63,1.1,3.62,2.89,2.62,0.8,1.32,0.56,0.63,0.55,0.49,0.45,0.5,0.54,0.28
c_1,3.12,2.81,5.17,1.1,3.14,2.94,1.0,0.4,0.97,1.0,0.7,0.68,0.49,0.62,0.73,0.51
b_1,4.01,4.61,4.39,2.29,1.12,4.07,1.31,0.82,1.1,1.03,1.47,0.73,0.63,0.82,0.68,0.57
a_1,6.34,5.85,5.3,6.39,2.62,1.14,1.87,1.36,1.79,1.24,1.77,1.13,0.77,2.28,1.22,0.87
h_1,11.35,10.08,10.3,11.27,10.64,10.09,1.63,2.36,3.56,2.24,2.13,2.15,2.02,1.97,2.03,1.6
d_0,13.46,8.08,20.98,13.92,16.54,15.13,4.39,1.94,4.45,3.65,2.66,3.15,2.16,3.13,3.0,2.42
g_1,15.67,14.98,13.73,15.4,13.56,12.26,2.98,3.42,1.68,2.51,2.79,2.46,1.68,2.93,2.44,2.13
c_0,17.38,16.37,7.89,24.91,16.95,13.84,4.55,4.89,4.25,1.93,2.79,2.79,2.21,2.69,2.63,2.01
b_0,20.02,17.96,14.44,23.79,28.85,17.29,5.3,4.31,4.8,2.22,2.09,3.58,2.43,3.1,3.27,2.46
f_0,36.42,20.56,19.75,24.34,21.87,15.37,6.64,4.51,3.63,4.06,4.14,2.28,2.78,3.56,3.46,1.82
h_0,30.35,25.52,20.11,23.44,24.65,19.37,8.79,5.55,6.86,5.01,4.62,3.85,4.29,4.48,4.71,3.27
a_0,35.74,26.06,19.53,28.21,31.53,29.35,8.61,6.2,7.38,4.31,2.67,4.76,3.61,2.42,5.76,3.45
e_0,36.42,33.64,22.22,28.72,27.96,19.77,6.96,4.63,6.28,4.89,4.46,2.54,3.16,5.34,2.3,3.45
g_0,32.41,29.6,29.12,33.21,30.82,25.83,6.8,6.55,11.2,6.27,6.18,5.2,3.57,6.26,5.19,5.03
