,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.91,1.55,1.59,1.59,1.22,0.63,0.78,0.49,0.59,0.55,0.61,0.41,0.51,0.71,0.43
f_1,1.57,0.66,1.31,1.43,1.32,1.07,0.51,0.65,0.47,0.51,0.49,0.58,0.32,0.46,0.43,0.48
d_1,1.59,1.55,0.65,1.32,1.33,1.41,0.66,0.45,0.56,0.94,0.51,0.45,0.38,0.48,0.52,0.29
c_1,1.2,1.41,1.94,0.63,1.8,1.4,0.68,0.58,0.77,0.35,0.5,0.5,0.44,0.57,0.43,0.4
b_1,1.48,1.89,1.45,0.91,0.62,1.89,0.85,0.75,0.73,0.62,0.91,0.56,0.58,0.41,0.53,0.45
a_1,1.98,2.47,1.58,2.06,0.94,0.58,0.82,0.78,0.62,0.82,0.71,0.49,0.56,1.5,0.64,0.58
h_1,2.22,2.25,2.15,2.27,1.86,1.71,0.58,1.12,0.76,0.77,0.75,0.72,0.79,0.72,0.57,0.76
g_1,2.06,2.61,2.37,2.53,2.55,2.04,0.76,0.56,0.97,0.88,0.78,0.84,0.6,0.66,0.73,0.77
c_0,2.57,2.83,1.46,4.33,2.34,2.2,1.05,1.0,0.62,1.1,0.99,0.88,0.69,0.86,0.89,0.69
d_0,1.6,2.38,3.29,2.92,2.62,1.86,1.13,1.2,0.84,0.63,0.98,0.91,0.76,0.75,0.7,0.76
b_0,2.24,2.62,2.36,3.23,3.33,1.96,1.11,1.13,0.55,0.76,0.61,0.74,0.7,0.93,0.84,0.6
f_0,2.28,4.9,2.69,2.46,2.32,2.68,1.34,0.87,0.93,0.95,0.95,0.62,0.9,0.78,1.02,0.47
h_0,2.91,3.38,2.57,2.84,2.2,2.4,2.05,1.24,1.01,1.09,1.04,0.84,1.06,0.77,1.0,0.95
a_0,2.77,2.97,2.6,2.72,3.95,3.1,1.24,1.48,0.96,1.18,0.63,1.21,1.12,0.58,1.0,0.68
e_0,3.65,3.49,2.71,2.63,2.66,2.74,1.57,1.27,1.06,1.16,1.1,0.66,0.81,1.03,0.58,1.05
g_0,2.66,3.07,3.26,3.03,3.11,2.41,1.12,1.74,1.14,1.04,1.21,1.36,0.69,1.04,0.96,1.18
