,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.55,0.05,0.06,0.07,0.09,0.06,0.31,0.31,0.87,0.34,0.42,0.33,0.34,0.67,,0.49
f_1,0.12,5.78,0.09,0.08,0.09,0.09,0.27,0.27,0.33,0.32,,0.47,0.27,0.71,0.29,0.53
c_1,0.08,0.07,6.31,0.07,0.11,0.08,0.3,0.3,0.37,,0.46,0.4,0.46,0.7,0.29,0.58
d_1,0.08,0.07,0.06,6.58,0.07,0.07,0.3,0.4,,0.53,0.55,0.47,0.49,0.54,0.46,0.53
b_1,0.07,0.07,0.08,0.08,6.84,0.13,0.35,0.24,0.43,0.44,0.44,,,0.52,0.36,0.72
a_1,0.07,0.09,0.1,0.06,0.08,11.43,0.38,,0.36,0.46,0.28,0.33,,0.6,0.68,
h_1,0.35,0.4,0.24,0.25,0.27,0.29,13.73,1.55,1.65,1.78,1.11,1.34,1.12,,1.65,2.52
g_1,0.19,0.28,0.28,0.52,0.23,0.24,1.01,16.9,1.06,1.88,2.14,1.52,1.3,2.15,1.84,
d_0,0.43,0.44,0.71,,0.47,0.34,1.29,0.97,11.9,2.03,1.51,1.34,1.4,3.32,1.86,3.69
c_0,0.38,0.39,,0.46,0.35,0.29,1.27,1.5,1.71,14.24,2.3,4.08,1.93,3.39,1.9,2.95
f_0,0.44,,0.35,0.29,0.33,0.48,2.0,1.43,2.24,1.96,15.03,1.89,2.55,3.05,3.03,2.77
b_0,0.38,0.34,0.45,0.49,,0.36,1.82,1.98,1.07,1.74,1.98,15.84,2.71,2.15,2.28,3.41
a_0,0.32,0.43,0.32,0.4,0.4,,1.26,1.06,1.32,2.89,2.22,1.24,20.07,3.97,,3.48
h_0,0.55,0.95,0.63,0.66,0.46,0.54,,2.58,3.14,3.17,1.76,2.5,4.27,,1.92,5.02
e_0,,0.47,0.39,0.37,0.54,,1.56,1.64,1.66,2.28,1.84,1.6,1.81,2.78,23.44,2.38
g_0,0.47,0.63,0.69,0.89,0.45,0.5,2.61,,2.6,1.69,4.52,3.56,2.56,3.87,2.39,
