,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.96,0.61,0.52,0.41,0.47,0.37,0.38,0.31,0.29,0.54,0.38,0.32,0.32,0.28,0.26,0.24
f_1,0.54,0.95,0.84,0.5,0.42,0.31,0.34,0.33,0.35,0.32,0.3,0.2,0.3,0.23,0.29,0.15
e_1,0.54,0.52,0.95,0.58,0.51,0.37,0.4,0.34,0.56,0.36,0.36,0.31,0.29,0.25,0.26,0.18
c_1,0.63,0.56,0.53,0.95,0.79,0.33,0.39,0.37,0.3,0.22,0.25,0.35,0.35,0.25,0.26,0.22
b_1,0.62,0.63,0.59,0.48,0.94,0.66,0.35,0.3,0.36,0.36,0.28,0.33,0.32,0.24,0.31,0.25
a_1,0.72,0.69,0.62,0.65,0.47,0.94,0.49,0.43,0.43,0.41,0.43,0.35,0.41,0.27,0.35,0.29
h_1,0.91,1.09,0.83,0.79,0.65,0.46,0.78,0.63,0.47,0.49,0.41,0.39,0.41,0.36,0.46,0.34
g_1,1.22,0.87,0.79,0.75,0.72,0.47,0.51,0.78,0.51,0.57,0.5,0.62,0.44,0.36,0.32,0.42
d_0,0.77,0.92,0.77,1.36,0.74,0.49,0.63,0.51,0.71,0.46,0.53,0.4,0.5,0.33,0.4,0.39
c_0,0.89,1.05,0.87,0.75,0.64,0.58,0.7,0.53,0.63,0.71,0.87,0.48,0.56,0.47,0.41,0.45
b_0,1.03,1.05,0.87,0.92,0.56,0.54,0.69,0.53,0.54,0.46,0.71,0.48,0.53,0.63,0.48,0.35
f_0,1.05,0.91,0.86,0.8,0.75,0.68,0.67,0.51,0.63,0.64,0.6,0.71,0.52,0.47,0.43,0.75
h_0,1.13,1.32,1.04,0.82,0.76,0.57,0.49,0.7,0.58,0.56,0.62,0.54,0.51,0.44,0.59,0.35
a_0,1.07,1.2,1.01,0.97,0.85,0.42,0.73,0.63,0.74,0.65,0.6,0.5,0.63,0.67,0.5,0.39
g_0,1.43,0.99,0.99,0.94,0.83,0.63,0.61,0.55,0.6,0.68,0.65,0.79,0.55,0.5,0.47,0.48
e_0,1.18,1.32,0.98,0.93,0.94,0.65,0.73,0.62,0.59,0.57,0.72,0.48,0.68,0.5,0.46,0.64
