,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.95,1.21,0.95,0.88,0.79,0.56,0.66,0.57,0.6,0.52,0.5,0.48,0.48,0.49,0.5
d_1,1.05,1.0,1.08,0.96,0.86,0.78,0.7,0.55,0.84,0.68,0.77,0.55,0.61,0.64,0.56,0.41
e_1,0.84,0.92,1.0,1.12,0.96,0.84,0.76,0.76,0.69,0.9,0.68,0.71,0.7,0.59,0.72,0.83
c_1,1.05,1.04,0.89,1.0,1.4,0.86,0.63,0.66,0.6,0.48,0.59,0.62,0.63,0.57,0.55,0.66
b_1,1.11,1.16,1.04,0.72,1.0,1.39,0.89,0.67,0.78,0.79,0.51,0.73,0.61,0.67,0.61,0.64
a_1,1.27,1.28,1.19,1.15,0.73,1.0,0.94,0.97,0.73,0.71,0.82,0.83,0.84,0.89,0.71,0.69
h_1,1.8,1.44,1.31,1.63,1.12,1.11,1.0,1.1,0.84,0.84,0.76,0.77,0.85,0.7,0.75,0.88
g_1,1.53,1.81,1.3,1.59,1.46,1.07,0.92,1.0,0.88,0.87,0.81,1.05,0.76,1.03,0.8,0.83
c_0,1.74,1.16,1.39,1.82,1.26,1.39,1.16,1.14,1.0,1.16,1.39,0.95,1.02,0.98,0.94,0.85
d_0,1.62,1.54,1.09,2.12,1.31,1.35,1.16,1.19,0.85,1.0,0.96,1.09,0.93,0.8,0.87,0.94
b_0,1.8,1.35,1.47,1.79,1.86,1.21,1.28,1.23,0.74,1.03,1.0,0.89,1.01,1.32,0.89,0.9
f_0,1.83,1.81,1.4,1.6,1.47,1.24,1.25,0.91,1.05,0.94,1.1,1.0,1.16,1.04,1.25,0.74
h_0,2.01,1.71,1.46,1.57,1.59,1.19,1.08,1.33,0.95,1.04,1.07,0.91,1.0,0.85,0.97,1.08
a_0,1.91,1.61,1.68,1.69,1.58,1.24,1.4,1.05,1.03,1.17,0.79,1.07,1.17,1.0,1.2,1.01
e_0,2.16,1.76,1.37,1.79,1.76,1.31,1.28,1.19,1.14,1.1,1.16,0.79,1.09,0.86,1.0,0.9
g_0,1.89,2.42,1.33,1.51,1.51,1.51,1.12,1.14,1.17,1.03,1.12,1.36,0.93,1.05,1.05,1.0
