,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.91,0.57,0.35,0.25,0.22,0.17,0.27,0.31,0.2,0.24,0.22,0.13,0.24,0.12,0.17,0.17
e_1,0.41,0.91,0.36,0.22,0.24,0.17,0.29,0.53,0.25,0.26,0.26,0.25,0.28,0.11,0.19,0.2
c_1,0.34,0.33,0.9,0.28,0.48,0.21,0.27,0.26,0.21,0.12,0.16,0.2,0.22,0.16,0.14,0.21
d_1,0.38,0.35,0.24,0.91,0.24,0.16,0.33,0.19,0.22,0.52,0.29,0.22,0.27,0.19,0.19,0.23
b_1,0.33,0.31,0.31,0.29,0.89,0.4,0.24,0.29,0.18,0.25,0.14,0.23,0.28,0.19,0.12,0.21
a_1,0.4,0.33,0.31,0.3,0.24,0.88,0.3,0.29,0.22,0.23,0.26,0.25,0.32,0.2,0.14,0.25
h_1,0.51,0.36,0.34,0.31,0.29,0.17,0.62,0.3,0.3,0.29,0.24,0.25,0.19,0.22,0.17,0.29
d_0,0.44,0.33,0.61,0.21,0.29,0.16,0.34,0.52,0.27,0.19,0.25,0.21,0.29,0.2,0.2,0.23
g_1,0.39,0.29,0.33,0.49,0.3,0.19,0.33,0.26,0.6,0.31,0.25,0.38,0.26,0.22,0.18,0.2
c_0,0.46,0.4,0.29,0.33,0.2,0.19,0.34,0.32,0.27,0.5,0.52,0.27,0.28,0.19,0.25,0.22
b_0,0.49,0.4,0.36,0.34,0.22,0.15,0.36,0.36,0.27,0.29,0.48,0.25,0.28,0.21,0.39,0.25
f_0,0.32,0.29,0.41,0.33,0.31,0.23,0.33,0.36,0.27,0.27,0.29,0.49,0.31,0.42,0.15,0.27
h_0,0.51,0.36,0.39,0.3,0.32,0.19,0.25,0.3,0.31,0.29,0.26,0.22,0.2,0.21,0.16,0.31
e_0,0.45,0.26,0.44,0.31,0.32,0.24,0.41,0.28,0.25,0.28,0.22,0.28,0.3,0.43,0.17,0.26
a_0,0.43,0.39,0.39,0.27,0.3,0.15,0.34,0.35,0.3,0.28,0.27,0.26,0.34,0.22,0.43,0.27
g_0,0.31,0.33,0.37,0.45,0.31,0.19,0.33,0.31,0.21,0.29,0.28,0.42,0.28,0.24,0.18,0.2
