,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,1.62,1.57,1.6,1.85,1.59,0.31,0.27,0.58,0.31,0.39,0.91,0.18,0.31,0.3,0.31
e_1,0.97,0.18,1.65,1.85,1.4,1.96,0.6,0.33,0.61,0.43,0.28,0.38,0.26,0.39,1.75,0.3
d_1,1.86,1.82,0.16,1.78,1.53,1.43,0.4,1.99,0.3,0.31,0.32,0.25,0.27,0.3,0.33,0.14
c_1,1.37,1.47,2.56,0.15,1.51,1.65,0.53,0.16,0.46,1.48,0.36,0.36,0.27,0.34,0.39,0.26
b_1,1.72,1.87,1.76,0.91,0.13,1.95,0.54,0.41,0.43,0.37,2.42,0.25,0.25,0.39,0.28,0.18
a_1,2.36,1.51,1.58,1.8,0.8,0.09,0.52,0.45,0.46,0.4,0.49,0.45,0.2,1.46,0.46,0.3
h_1,0.91,0.97,0.84,0.98,0.98,0.9,0.07,0.24,0.39,0.16,0.18,0.23,0.3,0.16,0.16,0.15
d_0,0.88,0.5,2.57,0.82,1.07,1.12,0.32,0.08,0.3,0.25,0.17,0.22,0.13,0.21,0.16,0.19
g_1,0.9,1.03,0.83,1.21,1.07,1.06,0.19,0.3,0.05,0.14,0.13,0.15,0.13,0.17,0.18,0.22
c_0,1.12,0.82,0.46,3.43,1.16,0.87,0.27,0.28,0.32,0.07,0.17,0.18,0.14,0.16,0.17,0.15
b_0,0.92,1.05,0.74,0.99,3.22,0.86,0.3,0.21,0.21,0.1,0.06,0.17,0.12,0.16,0.14,0.11
f_0,3.1,0.84,0.8,0.89,1.17,0.71,0.34,0.17,0.13,0.18,0.15,0.05,0.11,0.14,0.13,0.08
h_0,0.98,0.92,0.82,0.74,1.36,0.76,0.67,0.21,0.27,0.17,0.16,0.16,0.28,0.2,0.14,0.19
a_0,1.2,0.84,0.65,0.98,1.86,,0.29,0.24,0.24,0.14,0.09,0.16,0.12,0.04,0.24,0.14
e_0,1.35,1.47,0.68,0.98,1.46,0.73,0.21,0.17,0.22,0.16,0.13,0.08,0.11,0.16,0.04,0.14
g_0,1.16,0.91,0.92,1.1,1.05,0.64,0.21,0.17,0.54,0.18,0.18,0.15,0.11,0.15,0.12,0.25
