,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.3,1.17,1.02,1.27,0.89,0.76,1.95,1.97,1.59,3.57,2.08,1.96,2.78,1.75,1.44,2.68
f_1,1.75,2.37,0.9,1.02,0.86,0.83,1.78,1.78,1.51,2.24,2.02,1.35,2.67,1.73,1.19,2.17
d_1,1.09,1.11,2.45,0.76,0.9,0.88,2.07,3.74,1.83,1.78,2.5,2.16,2.97,2.1,2.11,2.73
c_1,1.07,1.02,1.06,2.61,1.66,0.91,1.71,1.44,1.72,2.01,1.79,2.08,2.57,1.48,1.71,2.42
b_1,0.97,1.12,1.09,1.1,2.79,1.65,1.82,1.91,1.78,2.03,1.49,1.97,2.78,1.38,1.65,2.41
a_1,1.13,1.13,1.08,0.99,0.92,3.04,2.24,2.1,2.06,1.95,2.23,2.4,3.04,1.6,2.19,2.5
h_1,1.07,1.52,1.22,0.97,1.01,0.79,3.52,2.25,2.19,2.28,2.25,2.32,2.24,2.12,2.12,3.47
c_0,1.13,1.3,1.24,0.89,0.91,0.87,2.32,3.43,2.17,2.59,4.11,2.4,3.34,2.68,2.14,3.0
g_1,1.04,1.08,1.68,0.9,1.11,0.99,1.89,2.59,3.78,2.05,2.25,2.75,2.72,2.14,2.05,1.98
d_0,1.15,1.2,0.85,1.78,1.21,0.84,1.92,1.7,1.93,3.14,2.28,2.22,2.99,1.94,1.86,2.78
b_0,1.29,1.28,1.26,1.12,0.87,0.57,2.14,2.37,1.86,2.3,3.49,2.31,2.88,3.97,2.12,2.83
f_0,0.94,0.96,1.21,1.22,1.15,1.01,2.24,2.47,2.01,2.74,2.42,3.58,3.02,2.34,3.91,2.85
h_0,1.25,1.44,1.15,1.03,1.06,0.87,1.43,2.15,2.25,2.41,2.44,1.96,2.34,2.02,1.91,3.16
a_0,1.15,1.31,1.3,1.21,1.1,0.49,2.21,2.55,2.0,2.48,2.16,2.29,3.29,3.77,1.96,2.62
e_0,1.01,1.53,1.04,1.07,1.04,1.0,2.27,2.58,1.91,2.36,2.49,2.39,3.18,2.27,3.83,3.01
g_0,1.02,1.1,1.57,1.14,1.02,0.84,1.97,2.43,1.62,2.2,2.56,3.26,2.83,2.04,2.12,2.1
