,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.16,0.57,0.44,0.44,0.46,0.43,0.12,0.14,0.08,0.09,0.09,0.08,0.06,0.08,0.07,0.04
e_1,0.48,0.16,0.26,0.47,0.47,0.44,0.13,0.1,0.15,0.11,0.11,0.1,0.07,0.1,0.19,0.08
f_1,0.41,0.39,0.16,0.48,0.51,0.45,0.09,0.1,0.15,0.08,0.12,0.08,0.05,0.08,0.08,0.07
c_1,0.54,0.36,0.48,0.15,0.41,0.47,0.12,0.05,0.14,0.13,0.08,0.08,0.07,0.09,0.09,0.07
b_1,0.48,0.45,0.6,0.25,0.13,0.4,0.14,0.09,0.14,0.14,0.09,0.23,0.07,0.1,0.09,0.07
a_1,0.48,0.39,0.47,0.54,0.23,0.1,0.16,0.1,0.15,0.11,0.11,0.13,0.08,0.17,0.11,0.07
h_1,0.38,0.37,0.45,0.41,0.35,0.33,0.06,0.08,0.14,0.08,0.08,0.09,0.09,0.08,0.07,0.06
d_0,0.57,0.24,0.38,0.41,0.47,0.37,0.12,0.06,0.12,0.09,0.08,0.09,0.06,0.08,0.08,0.07
g_1,0.39,0.38,0.42,0.45,0.46,0.29,0.08,0.1,0.05,0.08,0.07,0.08,0.05,0.08,0.08,0.07
c_0,0.23,0.49,0.43,0.7,0.42,0.34,0.13,0.14,0.11,0.05,0.09,0.1,0.07,0.08,0.08,0.07
f_0,0.35,0.4,0.58,0.4,0.4,0.34,0.11,0.08,0.08,0.09,0.05,0.08,0.06,0.07,0.07,0.04
b_0,0.31,0.36,0.41,0.56,0.52,0.36,0.12,0.11,0.1,0.04,0.08,0.05,0.06,0.09,0.08,0.06
h_0,0.37,0.36,0.42,0.37,0.46,0.34,0.15,0.09,0.1,0.08,0.08,0.07,0.08,0.08,0.07,0.06
a_0,0.33,0.44,0.41,0.42,0.46,0.57,0.1,0.11,0.08,0.07,0.07,0.04,0.06,0.04,0.07,0.06
e_0,0.31,0.62,0.67,0.42,0.35,0.31,0.11,0.08,0.08,0.07,0.04,0.08,0.06,0.06,0.04,0.05
g_0,0.36,0.45,0.48,0.34,0.34,0.39,0.09,0.09,0.14,0.08,0.08,0.09,0.05,0.08,0.07,0.06
