,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.6,1.69,1.21,1.83,1.52,1.51,5.05,13.87,5.69,6.54,8.7,8.41,6.38,10.67,3.65,11.6
f_1,2.6,5.93,1.54,1.4,1.23,1.21,5.01,6.05,5.24,7.28,7.14,2.84,7.42,11.01,5.44,8.76
d_1,1.53,1.54,6.44,1.16,1.37,1.38,6.13,3.34,6.01,13.93,8.55,8.13,8.18,11.79,10.3,12.27
c_1,1.43,1.42,1.44,6.64,2.84,1.63,5.49,6.62,4.55,2.73,5.39,7.33,6.66,11.46,7.18,12.5
b_1,1.22,1.58,1.75,1.61,7.63,3.04,4.98,7.05,5.36,6.02,2.64,7.6,5.54,10.23,9.46,8.73
a_1,1.61,1.68,1.27,1.87,1.55,11.22,6.11,5.76,5.44,6.95,8.52,7.74,3.23,10.13,7.59,9.02
h_1,1.97,2.72,1.9,1.76,1.77,1.48,16.18,7.68,7.27,7.63,8.65,8.06,9.5,8.22,9.22,16.87
d_0,1.66,1.81,1.03,3.77,1.79,1.89,6.11,16.49,7.25,6.04,10.02,9.45,9.2,14.19,8.52,11.45
g_1,1.56,1.37,3.0,1.95,1.75,1.68,7.36,7.59,20.85,10.19,9.16,14.1,10.12,13.95,10.78,10.37
c_0,1.89,2.01,2.25,1.41,1.15,1.58,7.86,9.32,7.91,17.65,19.05,10.08,11.24,14.13,10.84,15.3
b_0,1.81,2.21,1.88,2.1,1.13,1.47,8.14,9.2,8.27,8.95,19.18,10.31,19.87,13.77,10.16,14.23
f_0,1.25,1.17,2.32,2.25,2.02,1.95,8.06,9.15,7.35,9.28,10.86,20.44,11.25,14.4,22.4,16.23
a_0,2.2,1.8,1.89,2.14,1.93,1.36,7.91,8.85,6.75,7.59,8.23,9.83,24.55,14.39,10.65,12.2
h_0,1.86,2.59,2.09,1.84,1.65,1.45,3.83,8.34,9.49,8.83,8.51,9.31,9.01,9.29,9.66,19.72
e_0,1.0,2.01,2.24,1.89,1.93,2.51,7.08,7.61,7.53,10.73,11.02,10.59,9.85,16.49,25.13,14.78
g_0,1.63,1.64,3.08,1.87,2.19,1.43,6.68,7.12,4.13,7.77,8.86,15.48,8.89,14.06,11.78,8.76
