,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.51,0.86,0.78,1.04,0.88,0.73,0.99,1.68,1.0,0.96,1.14,1.14,0.81,1.12,0.75,1.15
f_1,1.34,1.53,0.87,0.91,0.7,0.62,0.91,1.03,0.97,0.98,0.93,0.65,0.93,1.03,0.65,0.91
d_1,1.0,0.96,1.56,0.77,0.76,0.69,1.19,0.83,0.9,1.61,1.16,1.0,1.02,1.09,1.0,1.01
c_1,0.87,0.87,0.95,1.57,1.35,0.74,1.05,0.86,0.85,0.68,0.75,0.97,0.86,1.1,0.87,1.1
b_1,0.86,1.02,0.97,0.82,1.62,1.28,1.02,1.07,0.95,1.04,0.79,0.95,0.76,1.13,1.05,0.9
a_1,1.03,1.17,0.98,1.04,0.81,1.78,1.27,1.01,1.02,1.17,1.22,1.11,0.75,1.23,0.96,1.08
h_1,1.25,1.51,1.09,1.05,1.02,0.75,1.82,1.19,1.36,1.14,1.18,1.08,1.14,1.22,1.14,1.58
d_0,0.97,1.18,0.95,1.89,1.16,0.95,1.26,1.75,1.27,0.98,1.32,1.25,1.26,1.48,1.15,1.2
g_1,1.06,1.06,1.58,1.22,1.05,0.82,1.34,1.15,1.91,1.41,1.28,1.75,1.34,1.3,1.38,1.24
c_0,1.26,1.36,1.13,1.23,0.83,0.85,1.5,1.54,1.28,1.78,2.21,1.42,1.53,1.49,1.23,1.45
b_0,1.2,1.38,1.14,1.36,1.01,0.72,1.59,1.41,1.4,1.22,1.79,1.32,2.16,1.6,1.28,1.45
f_0,1.0,1.18,1.35,1.29,1.28,0.93,1.54,1.46,1.2,1.34,1.52,1.8,1.29,1.53,2.11,1.47
a_0,1.43,1.29,1.2,1.27,1.22,0.93,1.54,1.44,1.2,1.28,1.11,1.42,1.87,1.59,1.32,1.35
h_0,1.28,1.55,1.39,1.2,1.1,0.85,1.2,1.36,1.64,1.42,1.32,1.32,1.28,1.39,1.19,1.83
e_0,1.13,1.57,1.34,1.32,1.13,1.22,1.34,1.32,1.2,1.5,1.6,1.21,1.31,1.8,1.8,1.5
g_0,1.17,1.25,1.76,1.19,1.33,0.93,1.36,1.31,1.13,1.44,1.34,1.87,1.23,1.46,1.52,1.27
