,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.41,1.13,1.34,1.16,1.01,1.27,1.99,1.98,3.77,2.4,2.34,2.31,2.59,2.86,1.64,3.28
f_1,1.69,2.52,1.25,1.03,1.03,0.89,1.59,2.08,2.42,2.54,2.41,1.26,2.23,2.89,2.14,2.74
c_1,0.94,1.08,2.57,1.12,1.83,1.02,2.28,2.17,2.1,1.99,1.2,2.83,2.59,3.01,2.42,3.25
d_1,0.99,1.16,1.03,2.6,1.18,1.08,2.46,2.26,2.06,2.93,3.92,2.65,2.36,2.65,2.84,2.33
b_1,1.14,1.22,0.94,1.09,2.72,1.97,2.24,1.87,2.09,1.39,2.69,2.14,2.07,3.5,2.44,3.44
a_1,1.08,1.31,1.18,1.27,0.9,3.09,3.02,2.47,2.47,2.53,2.3,2.46,2.22,3.53,2.57,3.03
h_1,1.18,1.74,1.05,1.24,1.34,0.86,4.07,2.98,2.65,2.59,2.69,2.35,2.59,2.62,3.33,4.55
g_1,1.22,1.19,1.18,1.73,1.15,0.94,2.17,4.41,2.36,2.64,2.38,3.83,2.18,2.87,3.16,2.7
d_0,1.03,1.3,2.12,0.75,1.45,1.12,2.25,2.26,3.91,2.99,2.07,2.78,2.83,3.81,3.09,3.17
b_0,1.32,1.27,1.39,1.34,0.78,1.1,2.5,2.5,2.37,4.1,2.7,3.13,5.13,3.77,3.04,3.31
c_0,1.38,1.32,1.12,1.22,0.91,1.36,2.45,2.47,3.15,4.49,4.04,2.93,3.15,3.75,3.35,3.38
f_0,1.1,0.91,1.32,1.3,1.47,1.16,2.56,2.3,2.75,2.81,2.59,4.51,3.31,3.76,5.32,2.88
a_0,1.2,1.34,1.25,1.43,1.54,0.71,2.21,2.41,2.84,2.52,2.6,2.53,4.74,4.39,2.88,3.74
h_0,1.28,1.7,1.33,1.42,1.07,1.07,1.74,3.17,2.27,2.58,2.51,2.69,2.65,2.42,2.23,3.8
e_0,1.1,1.58,1.37,1.2,1.2,1.05,2.21,2.2,2.61,3.09,2.74,2.7,3.58,4.27,4.8,3.97
g_0,1.32,1.09,1.19,1.88,1.14,1.17,1.92,1.64,2.56,3.32,2.78,4.02,2.96,3.12,2.79,3.01
