,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.94,1.28,1.94,2.26,3.3,21.06,38.99,29.96,37.84,39.9,53.52,98.92,112.43,131.2,125.28
f_1,1.08,1.0,1.13,1.47,1.7,2.58,15.96,25.91,25.46,31.02,34.39,36.74,65.97,86.78,83.61,120.16
d_1,0.78,0.88,1.0,0.99,1.53,2.52,14.6,19.35,29.16,19.28,28.8,31.48,66.02,79.35,81.4,73.42
c_1,0.52,0.67,1.02,1.0,1.82,2.23,12.99,13.97,17.82,19.59,21.0,25.4,53.87,60.93,75.37,78.75
b_1,0.45,0.58,0.66,0.56,1.0,2.51,10.42,13.94,16.76,20.0,19.9,23.06,42.92,50.68,55.12,56.73
a_1,0.3,0.39,0.39,0.45,0.4,1.0,6.73,9.26,8.28,8.12,11.66,11.83,27.68,35.0,36.44,40.28
h_1,0.05,0.06,0.07,0.08,0.1,0.14,1.0,1.44,1.53,1.93,1.84,2.14,4.23,5.25,4.86,6.88
d_0,0.03,0.04,0.05,0.07,0.08,0.11,0.69,1.0,0.94,1.22,1.16,1.5,3.22,3.69,4.07,4.67
c_0,0.03,0.04,0.03,0.06,0.06,0.12,0.69,1.02,1.0,1.09,1.55,1.37,2.79,3.9,3.64,3.91
g_1,0.03,0.03,0.05,0.05,0.05,0.12,0.53,0.81,0.88,1.0,1.08,1.5,2.19,2.72,3.84,3.7
b_0,0.03,0.03,0.03,0.05,0.05,0.08,0.57,0.78,0.63,0.95,1.0,1.11,2.36,4.07,2.87,3.18
f_0,0.02,0.03,0.03,0.04,0.04,0.09,0.45,0.67,0.72,0.64,0.85,1.0,2.11,2.3,3.57,2.19
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.25,0.31,0.35,0.46,0.42,0.47,1.0,1.15,1.35,1.53
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.26,0.26,0.37,0.25,0.43,0.92,1.0,0.97,1.06
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.25,0.28,0.26,0.37,0.28,0.75,0.95,1.0,1.02
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.22,0.25,0.27,0.31,0.43,0.64,0.95,1.05,1.0
