,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.33,0.38,0.57,0.59,0.4,0.36,0.96,0.77,0.95,1.97,1.08,0.98,1.13,0.72,0.31,0.86
d_1,0.52,2.35,0.48,0.37,0.42,0.36,0.94,0.78,2.01,0.31,1.12,1.08,1.2,0.88,0.96,1.23
f_1,0.89,0.55,2.35,0.39,0.37,0.28,0.94,0.83,0.89,0.96,0.28,0.88,0.98,0.94,0.51,1.06
c_1,0.37,0.45,0.5,2.47,0.86,0.33,0.86,0.69,0.37,1.03,0.94,0.53,1.29,0.68,0.82,1.33
b_1,0.46,0.41,0.45,0.46,2.52,0.85,0.88,0.74,0.7,0.92,0.91,0.26,1.39,0.63,0.85,1.08
a_1,0.46,0.52,0.5,0.58,0.47,2.95,0.75,0.92,0.85,0.92,0.83,1.14,1.08,0.29,1.02,1.1
h_1,0.5,0.66,0.81,0.64,0.51,0.39,2.84,1.18,1.15,1.02,1.16,1.23,0.92,0.96,1.0,1.78
g_1,0.55,1.06,0.51,0.34,0.48,0.49,1.14,3.22,1.42,0.88,1.64,1.24,1.17,0.93,1.09,0.73
c_0,0.59,0.74,0.72,0.31,0.46,0.44,1.27,1.03,2.67,1.05,1.28,2.34,1.41,1.33,0.97,1.45
d_0,0.6,0.22,0.61,1.24,0.6,0.33,1.22,0.77,0.7,2.69,0.97,1.13,1.68,1.0,0.87,1.16
f_0,0.49,0.7,0.42,0.51,0.58,0.43,1.33,1.17,1.39,1.17,2.89,1.34,1.75,1.1,2.58,1.48
b_0,0.52,0.88,0.69,0.63,0.22,0.3,1.15,1.07,1.17,1.12,1.14,2.87,1.85,2.33,1.09,1.37
h_0,0.51,0.68,0.88,0.68,0.47,0.55,0.54,1.44,1.15,1.3,1.07,1.1,1.03,1.32,1.0,2.0
a_0,0.62,0.67,0.75,0.58,0.51,0.17,1.35,0.97,1.12,1.05,1.38,1.25,1.86,3.11,1.1,1.53
e_0,0.27,0.75,0.81,0.54,0.49,0.54,1.36,1.06,1.07,1.05,1.1,1.2,1.94,0.92,3.03,1.45
g_0,0.46,1.02,0.49,0.71,0.54,0.49,1.04,0.53,1.08,0.94,1.64,1.27,1.47,0.95,1.15,0.74
