,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.17,0.81,0.41,0.93,0.92,0.86,0.26,0.26,0.15,0.15,0.2,0.19,0.17,0.42,0.19,0.15
d_1,0.85,0.17,0.81,0.81,0.81,0.7,0.21,0.13,0.34,0.13,0.14,0.13,0.1,0.15,0.14,0.07
f_1,0.88,0.67,0.16,0.81,0.71,0.65,0.15,0.28,0.2,0.15,0.13,0.36,0.07,0.15,0.14,0.14
c_1,0.57,1.04,0.79,0.15,0.9,0.65,0.27,0.2,0.09,0.38,0.15,0.15,0.13,0.15,0.17,0.1
b_1,0.8,0.79,1.05,0.39,0.13,0.94,0.22,0.25,0.17,0.24,0.51,0.15,0.12,0.18,0.16,0.14
a_1,0.93,0.79,0.94,0.83,0.37,0.1,0.25,0.22,0.16,0.18,0.19,0.2,0.11,0.15,0.63,0.12
h_1,0.61,0.55,0.62,0.7,0.59,0.56,0.06,0.19,0.13,0.13,0.12,0.14,0.2,0.13,0.13,0.08
g_1,0.6,0.55,0.82,0.6,0.6,0.62,0.13,0.06,0.15,0.13,0.14,0.14,0.07,0.11,0.14,0.15
d_0,0.35,1.48,0.66,0.63,0.58,0.71,0.21,0.2,0.07,0.17,0.12,0.12,0.09,0.11,0.12,0.09
c_0,0.68,0.31,0.66,1.76,0.68,0.61,0.19,0.18,0.19,0.06,0.13,0.13,0.09,0.12,0.13,0.11
b_0,0.64,0.45,0.6,0.83,1.41,0.52,0.19,0.18,0.18,0.07,0.05,0.15,0.08,0.12,0.1,0.1
f_0,0.49,0.53,1.96,0.63,0.61,0.65,0.17,0.1,0.13,0.13,0.14,0.05,0.09,0.12,0.1,0.06
h_0,0.58,0.53,0.77,0.58,0.53,0.57,0.3,0.19,0.12,0.12,0.11,0.11,0.19,0.11,0.1,0.07
e_0,0.93,0.55,1.0,0.71,0.65,0.45,0.14,0.15,0.11,0.13,0.12,0.06,0.08,0.04,0.12,0.06
a_0,0.52,0.51,0.59,0.81,1.25,1.18,0.18,0.21,0.16,0.1,0.05,0.14,0.09,0.1,0.04,0.07
g_0,0.62,0.56,0.67,0.73,0.59,0.6,0.11,0.23,0.12,0.14,0.13,0.1,0.07,0.11,0.11,0.18
