,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,6.24,2.35,4.57,2.93,2.64,2.42,10.12,9.19,13.03,11.91,9.45,11.87,19.39,19.91,15.46,8.96
d_1,3.09,6.36,2.84,2.31,2.83,2.56,9.65,11.41,10.18,22.52,13.69,17.84,23.21,20.63,16.27,15.19
e_1,2.93,2.35,6.37,3.26,2.75,3.07,10.46,10.34,22.29,12.79,13.42,14.49,21.36,20.01,15.46,12.15
c_1,2.66,2.66,2.46,6.77,5.09,2.85,10.22,9.45,11.62,8.68,12.59,10.56,19.92,20.27,12.25,14.37
b_1,2.88,2.63,2.7,2.98,7.4,5.42,10.72,10.14,11.79,12.27,13.34,10.56,18.24,21.46,10.18,15.88
a_1,2.98,3.04,2.59,3.31,2.6,11.12,10.5,11.68,13.14,12.58,15.55,15.77,22.28,20.6,10.16,17.07
h_1,3.77,3.12,2.79,3.13,2.91,2.89,18.42,13.02,13.8,12.98,13.13,15.65,15.83,27.15,14.46,16.65
g_1,2.64,4.31,2.59,2.99,3.18,3.29,9.74,21.7,10.84,15.98,19.67,16.2,21.27,16.74,13.25,18.84
d_0,2.93,2.55,2.77,5.03,3.47,2.68,10.95,10.53,19.78,9.97,12.27,13.17,18.3,22.36,17.39,13.47
c_0,3.13,3.26,2.85,2.65,2.66,3.59,12.23,12.62,15.44,21.94,17.2,26.26,23.62,22.13,21.16,19.22
f_0,2.51,3.79,2.54,3.05,3.14,3.45,11.72,14.22,13.54,16.85,23.39,16.8,25.29,22.01,17.3,32.68
b_0,3.55,3.61,2.72,3.24,2.51,2.66,11.33,11.04,14.06,13.66,15.93,23.32,25.8,23.51,30.98,16.72
h_0,3.91,3.26,3.03,2.85,3.01,3.1,8.44,12.84,12.71,13.61,15.21,15.56,16.82,26.86,15.42,15.38
g_0,2.47,4.22,2.91,2.95,2.89,3.22,11.47,10.41,12.89,14.72,19.99,16.72,19.12,17.42,17.71,17.11
a_0,3.18,3.53,2.89,3.07,2.71,2.43,13.36,11.98,15.14,13.62,17.3,16.25,25.12,24.76,31.06,16.95
e_0,3.22,3.63,1.69,3.37,3.17,3.36,13.02,12.53,12.63,14.82,15.74,17.11,25.19,26.22,17.15,31.88
