,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.95,1.31,1.96,2.2,3.34,20.67,38.47,29.91,35.99,38.96,52.94,97.85,107.13,117.78,124.42
f_1,1.07,1.0,1.12,1.49,1.69,2.63,16.18,26.21,25.44,31.17,34.44,36.59,68.2,92.45,82.85,121.2
d_1,0.75,0.89,1.0,1.0,1.51,2.6,14.63,20.3,28.62,19.83,29.28,31.12,64.69,80.3,83.05,73.94
c_1,0.52,0.67,1.03,1.0,1.8,2.32,13.01,14.32,18.88,21.27,20.3,25.75,54.0,58.28,74.42,78.09
b_1,0.46,0.59,0.67,0.57,1.0,2.38,10.02,13.72,16.42,19.07,19.12,23.19,41.74,48.29,58.72,57.41
a_1,0.29,0.38,0.37,0.44,0.42,1.0,6.84,9.08,8.65,8.51,11.82,11.71,28.08,35.34,35.86,40.27
h_1,0.05,0.06,0.07,0.08,0.09,0.14,1.0,1.39,1.51,1.83,1.87,2.12,4.28,5.48,5.17,6.61
d_0,0.03,0.04,0.05,0.07,0.08,0.11,0.7,1.0,0.92,1.21,1.24,1.53,3.26,3.69,4.18,4.87
c_0,0.03,0.04,0.04,0.05,0.06,0.11,0.68,1.0,1.0,1.05,1.51,1.37,2.75,4.06,3.84,3.95
g_1,0.03,0.03,0.05,0.05,0.06,0.12,0.57,0.82,0.93,1.0,1.15,1.53,2.33,2.88,4.02,3.59
b_0,0.03,0.03,0.03,0.05,0.05,0.08,0.56,0.77,0.66,0.89,1.0,1.11,2.37,3.98,2.9,3.17
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.46,0.65,0.7,0.65,0.89,1.0,2.02,2.39,3.44,2.17
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.25,0.3,0.36,0.43,0.42,0.48,1.0,1.18,1.33,1.51
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.26,0.24,0.34,0.26,0.42,0.91,1.0,0.98,1.07
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.25,0.27,0.26,0.37,0.3,0.76,0.99,1.0,0.94
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.15,0.21,0.25,0.27,0.32,0.44,0.64,0.93,1.09,1.0
