,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.72,1.29,1.7,1.06,1.23,1.05,4.88,11.72,3.94,6.32,6.48,7.09,9.58,7.17,3.84,8.9
f_1,2.46,6.14,1.14,1.19,0.95,1.44,3.79,5.09,3.56,5.17,6.17,2.2,8.71,5.29,3.96,8.51
c_1,1.09,1.35,6.25,1.22,2.38,1.03,5.55,5.31,4.61,1.97,4.01,6.58,8.71,6.21,6.25,6.53
d_1,1.14,1.47,1.13,6.71,1.27,0.97,4.41,2.33,5.73,12.07,8.49,6.6,9.7,8.23,6.72,10.46
b_1,0.98,1.12,1.44,1.31,7.52,2.8,4.01,5.25,4.67,6.45,2.73,6.27,8.68,4.15,6.33,11.13
a_1,1.54,1.5,1.01,1.34,1.29,10.83,6.01,5.94,4.55,5.8,6.12,4.5,10.07,2.19,7.06,8.88
h_1,1.47,2.3,1.6,1.33,1.63,1.32,17.84,7.24,8.35,5.83,7.08,7.93,5.28,7.97,6.96,12.09
d_0,1.51,1.47,3.14,0.84,1.44,1.29,5.64,15.07,6.0,5.26,8.24,7.94,10.32,6.92,9.03,13.01
g_1,1.38,1.35,1.34,2.88,1.44,1.31,4.98,4.9,19.76,7.7,7.07,11.29,13.15,4.61,9.93,6.59
c_0,1.47,1.8,0.76,2.01,1.16,1.56,6.49,7.6,5.01,15.76,15.36,9.39,13.07,11.01,8.53,12.1
b_0,1.66,1.79,1.77,1.83,0.61,1.23,5.86,8.0,6.52,7.52,17.24,8.46,12.25,17.67,8.63,11.54
f_0,1.36,0.79,1.79,2.16,1.69,1.63,5.78,7.87,6.81,7.41,7.86,18.95,12.23,9.29,16.79,13.09
h_0,1.51,2.2,1.56,2.02,1.27,1.71,3.07,7.33,7.68,7.41,7.54,6.52,7.07,7.99,8.52,17.16
a_0,1.63,2.14,1.51,1.79,1.17,0.84,5.48,7.46,5.72,9.22,8.62,6.8,12.12,23.84,8.59,11.13
e_0,0.94,1.71,1.96,1.74,1.86,1.85,5.58,6.79,7.18,5.92,7.38,7.12,13.53,7.21,26.19,11.87
g_0,1.35,1.36,1.45,2.92,1.45,1.61,5.76,5.96,3.52,7.96,6.72,13.22,11.21,7.1,9.21,8.0
