,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.15,96.92,89.84,93.29,100.41,89.13,20.41,,18.17,19.09,18.83,19.96,8.19,23.35,14.26,7.66
e_1,75.7,1.15,50.21,75.93,108.44,93.18,33.17,14.23,31.14,19.67,26.9,19.96,13.81,12.81,,16.65
f_1,104.65,112.55,1.15,88.24,87.45,136.67,15.02,19.51,32.7,16.22,,19.28,7.89,18.05,15.4,14.19
c_1,107.82,85.1,87.54,1.15,84.72,120.59,24.88,9.49,29.73,,14.49,21.5,14.26,26.47,,18.24
b_1,122.69,124.61,162.57,68.02,1.15,102.5,30.62,15.88,32.7,34.16,16.62,,17.0,36.09,24.06,19.15
a_1,118.6,145.38,136.56,163.25,84.72,1.15,56.86,22.03,46.71,43.27,37.67,43.0,27.63,,,21.28
h_1,91.23,105.73,85.35,125.58,84.72,107.89,2.0,27.32,40.88,16.22,19.48,19.28,,15.88,22.65,13.68
d_0,,49.84,97.54,96.03,96.82,70.69,29.48,3.1,26.16,18.03,19.48,15.97,11.05,18.05,13.28,15.96
g_1,154.7,124.61,106.69,130.6,135.55,128.12,22.74,34.15,2.0,34.16,18.83,22.36,15.79,,22.65,
c_0,49.42,99.69,92.27,,112.96,93.18,25.68,22.03,21.8,2.94,26.9,25.41,17.68,18.05,19.25,10.64
f_0,98.83,124.61,,105.32,123.23,93.18,37.9,25.3,16.77,24.96,3.1,23.29,15.79,17.26,24.06,9.58
b_0,154.7,109.03,106.69,148.41,,120.59,37.9,27.32,22.55,11.59,20.93,2.96,13.39,33.08,27.5,14.19
h_0,96.16,102.62,121.93,64.02,100.41,97.62,,19.51,24.22,18.03,19.48,15.53,,20.89,13.75,11.26
a_0,131.78,166.14,189.67,217.67,208.54,,36.18,34.15,,43.27,31.39,14.33,24.56,3.05,,20.16
e_0,222.38,,227.6,,135.55,,37.9,29.7,40.88,36.06,17.12,37.27,22.1,,3.06,23.94
g_0,127.07,139.56,126.44,85.92,96.82,113.89,24.88,24.39,,15.83,20.18,26.62,12.63,24.81,21.39,
