,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.76,0.75,1.28,0.84,0.72,0.59,0.95,1.03,0.91,0.88,0.99,0.67,1.0,0.94,0.66,0.78
d_1,0.93,1.91,0.82,0.61,0.76,0.77,1.04,0.7,1.03,1.69,1.15,0.95,1.05,1.1,1.09,1.0
e_1,0.85,0.75,1.81,1.05,0.69,0.71,0.92,1.59,0.92,0.93,1.08,1.12,1.0,0.94,0.88,0.95
c_1,0.79,0.88,0.7,1.96,1.34,0.82,0.83,0.81,0.88,0.6,0.77,0.88,0.94,0.97,0.85,1.05
b_1,0.75,0.93,0.72,0.71,2.14,1.53,0.91,0.81,0.88,0.88,0.57,1.0,0.95,0.7,0.91,1.04
a_1,0.92,0.85,0.8,0.69,0.91,2.72,1.07,0.95,1.02,0.9,0.94,1.03,0.96,0.75,1.01,0.9
h_1,1.07,0.87,0.91,1.0,0.72,0.79,1.76,0.94,1.3,0.87,1.05,1.06,0.78,0.95,1.07,1.43
d_0,0.86,0.7,0.78,1.5,0.9,0.8,1.0,1.35,0.91,0.65,1.06,1.11,1.02,1.05,1.11,1.06
g_1,0.78,1.28,0.75,0.97,0.78,0.74,1.09,0.8,2.02,1.01,1.06,1.39,1.02,1.21,1.23,0.99
c_0,0.9,0.84,0.97,0.81,0.62,0.88,1.08,1.15,1.08,1.52,1.96,1.31,1.12,1.27,1.28,1.14
b_0,0.88,0.91,0.85,1.08,0.62,0.64,1.09,1.04,1.12,1.0,1.66,1.13,1.26,2.13,1.43,1.18
f_0,0.76,0.84,0.65,1.02,0.95,0.93,1.17,1.01,1.1,1.1,1.06,1.7,1.04,1.1,2.17,1.15
h_0,1.21,0.89,0.93,0.91,0.76,0.65,0.82,0.98,1.29,0.94,1.05,0.97,0.84,1.08,1.13,1.34
a_0,0.82,0.94,0.81,0.95,0.85,0.7,1.26,1.04,1.0,1.09,1.18,1.24,1.2,1.97,1.25,1.31
e_0,0.99,0.84,0.64,1.02,0.92,0.8,1.24,0.99,1.23,1.05,1.08,1.04,1.4,1.26,2.19,1.11
g_0,0.86,1.17,0.72,0.9,0.74,0.9,0.96,0.96,0.79,1.1,1.19,1.53,0.98,1.13,1.45,0.91
