,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.71,1.82,2.43,2.06,1.7,0.38,0.64,0.39,0.34,0.36,0.78,0.21,0.45,0.44,0.35
e_1,1.21,0.43,2.04,2.16,2.35,1.92,0.79,0.68,0.43,0.42,0.48,0.51,0.35,0.44,1.03,0.34
d_1,2.09,2.17,0.42,2.03,2.2,1.94,0.59,0.41,1.08,0.36,0.4,0.38,0.29,0.38,0.36,0.17
c_1,2.34,1.75,2.86,0.4,2.04,2.23,0.56,0.55,0.22,0.77,0.42,0.43,0.31,0.42,0.33,0.33
b_1,2.77,3.02,2.42,1.06,0.38,2.79,0.74,0.79,0.56,0.57,0.87,0.46,0.38,0.44,0.47,0.38
a_1,2.91,2.76,3.01,2.85,1.32,0.33,0.94,1.14,0.68,0.65,0.95,0.46,0.46,1.45,0.49,0.39
h_1,3.06,3.01,2.74,3.86,3.42,2.89,0.34,0.87,0.77,0.6,0.72,0.68,0.87,0.62,0.66,0.55
g_1,4.61,3.59,4.21,4.1,4.51,2.54,0.77,0.3,0.83,0.81,0.66,0.73,0.45,0.68,0.62,0.97
d_0,4.21,2.06,6.66,3.95,3.64,4.57,1.05,1.13,0.4,0.73,0.82,0.75,0.61,0.9,0.74,0.66
c_0,4.48,3.7,1.93,9.11,3.5,3.93,1.1,1.11,1.42,0.43,0.89,0.69,0.58,0.65,0.69,0.54
b_0,4.32,3.8,3.28,4.51,7.54,4.14,1.07,0.89,1.04,0.43,0.37,0.88,0.5,0.77,0.63,0.59
f_0,12.02,3.84,3.32,4.32,3.52,4.84,1.09,0.63,1.08,0.76,0.8,0.36,0.61,0.65,0.81,0.4
h_0,4.23,4.96,3.68,4.83,4.36,4.34,2.35,1.68,0.9,0.73,0.87,0.93,0.99,0.87,0.59,0.64
a_0,4.57,5.05,4.51,5.05,6.77,7.98,1.67,1.18,1.21,0.87,0.51,0.92,0.55,0.33,0.8,0.56
e_0,7.38,8.29,4.0,5.35,4.4,5.05,1.21,1.4,0.96,0.79,0.9,0.51,0.9,0.89,0.34,0.72
g_0,5.17,5.78,4.15,4.93,5.07,4.85,1.03,1.71,1.2,0.86,1.01,0.89,0.48,1.1,0.8,1.25
