,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,0.92,1.14,1.05,0.99,1.18,1.3,1.0,0.99,1.13,1.2,1.19,1.07,1.33,1.29
f_1,1.26,1.0,0.97,0.93,0.9,0.93,0.84,0.95,0.9,1.05,0.98,0.98,0.78,1.01,0.99,0.69
d_1,1.09,1.02,1.0,0.9,0.9,0.96,1.04,0.85,1.3,0.89,0.98,1.04,1.07,0.88,0.83,1.04
c_1,0.87,1.08,1.12,1.0,1.4,0.84,1.01,0.72,0.75,0.91,0.81,0.94,0.86,1.1,0.98,0.93
b_1,0.95,1.12,1.12,0.72,1.0,1.42,1.0,1.03,1.16,1.1,0.87,0.79,1.14,0.82,0.95,1.03
a_1,1.0,1.08,1.05,1.2,0.7,1.0,1.02,1.13,0.92,1.21,1.1,0.95,1.02,1.21,1.11,1.0
h_1,0.89,1.2,0.92,0.99,1.0,0.91,1.0,1.03,0.88,1.24,0.98,1.01,1.21,0.86,1.25,0.99
d_0,0.75,1.01,1.13,1.41,1.02,0.94,0.99,1.0,0.91,1.03,1.07,1.08,1.07,0.9,1.08,0.97
c_0,1.01,1.1,0.71,1.34,0.88,1.12,1.16,1.19,1.0,0.95,1.43,1.12,1.14,1.2,1.06,1.05
g_1,1.0,0.96,1.11,1.08,0.94,0.83,0.81,1.01,1.02,1.0,1.01,1.23,0.79,0.96,0.91,1.15
b_0,0.87,1.01,1.04,1.29,1.18,0.89,1.06,0.94,0.67,1.03,1.0,0.94,1.01,1.35,1.04,1.19
f_0,0.78,1.02,0.97,1.07,1.27,1.11,0.99,1.0,0.91,0.83,0.96,1.0,1.17,0.97,0.77,1.42
h_0,0.83,1.27,0.94,1.11,0.89,0.98,0.82,0.96,0.88,1.21,1.05,0.81,1.0,0.85,1.13,0.96
a_0,0.92,1.02,1.12,0.98,1.24,0.92,1.15,1.12,0.89,1.07,0.72,0.98,1.14,1.0,0.88,1.08
g_0,0.79,0.97,1.19,1.03,1.14,0.9,0.82,0.89,0.94,1.13,1.02,1.19,0.9,1.2,1.0,1.22
e_0,0.81,1.39,0.9,1.02,1.09,0.98,1.02,1.0,0.95,0.89,0.89,0.71,1.03,0.94,0.82,1.0
