,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.67,3.54,5.02,5.94,6.31,4.74,2.86,2.67,2.5,1.78,2.45,1.86,1.73,1.63,2.36,
f_1,6.48,0.67,5.93,5.69,5.11,5.06,1.96,2.41,2.0,2.74,1.84,,1.18,1.7,2.17,1.92
d_1,6.26,6.78,0.65,4.86,5.9,7.81,2.48,1.69,,2.62,2.46,1.95,1.84,0.9,2.04,2.53
c_1,5.75,6.39,7.25,0.65,6.23,5.17,3.28,2.56,1.63,,1.58,1.86,1.95,1.8,1.66,1.65
b_1,5.76,6.55,6.29,4.54,0.63,5.76,2.46,3.25,1.86,3.21,,2.38,1.75,1.58,2.33,2.14
a_1,8.08,8.31,7.62,6.91,5.47,0.57,3.75,3.71,2.83,2.66,2.57,2.48,2.04,1.85,,
h_1,3.91,5.71,5.4,4.01,5.43,4.12,0.62,1.82,1.88,1.45,1.53,2.32,,1.77,1.85,1.7
g_1,6.17,5.02,7.06,4.82,5.21,4.5,2.39,0.58,2.3,1.5,1.79,1.96,1.46,,2.29,1.68
d_0,3.23,4.79,,5.37,5.03,3.84,2.13,2.12,0.71,1.64,1.57,2.23,1.21,1.55,1.59,1.47
c_0,6.46,3.8,2.85,,3.89,5.73,2.6,2.65,2.02,0.69,2.35,1.88,1.54,1.93,1.14,
b_0,4.9,5.3,4.75,7.84,,5.74,2.25,2.83,1.86,1.11,0.68,2.05,1.57,1.44,1.57,2.11
f_0,5.86,,5.11,6.05,5.4,5.51,1.77,1.62,1.89,1.66,1.86,0.67,1.62,1.07,2.24,
h_0,4.78,5.24,4.27,3.95,3.6,4.86,,2.17,1.49,2.09,1.55,1.39,,1.52,1.15,1.76
g_0,5.95,5.93,6.73,5.22,5.13,4.36,1.67,,1.63,1.36,1.68,1.75,1.18,,,1.42
a_0,7.18,8.91,4.85,6.05,6.76,,2.39,2.38,2.13,2.46,1.68,1.88,1.8,,0.62,
e_0,,6.35,6.41,8.88,6.85,,2.5,2.59,2.69,,2.08,,1.4,1.91,,0.59
