,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.1,1.28,1.08,0.9,0.87,0.55,0.64,0.66,0.63,0.52,,0.48,0.48,0.53,0.63
d_1,0.91,1.0,1.0,1.09,0.89,0.81,0.64,0.56,0.9,,0.7,0.6,0.71,0.63,0.51,0.4
e_1,0.78,1.0,1.0,1.05,0.94,0.89,0.72,0.64,0.66,0.85,0.56,0.66,0.62,0.5,,0.82
c_1,0.93,0.92,0.95,1.0,1.51,0.98,0.63,0.73,,0.52,0.72,0.63,0.63,0.59,0.56,0.8
b_1,1.11,1.13,1.06,0.66,1.0,1.42,0.87,0.46,0.78,0.75,,0.86,0.62,0.73,0.59,0.51
a_1,1.15,1.24,1.13,1.02,0.7,1.0,1.04,0.99,0.69,0.75,0.81,0.88,0.85,,,
h_1,1.82,1.56,1.39,1.59,1.14,0.96,1.0,1.06,1.0,0.86,0.84,0.67,,0.76,0.83,0.88
g_1,1.57,1.77,1.57,1.36,2.16,1.01,0.94,1.0,0.97,0.76,0.89,1.03,0.75,1.05,0.67,
c_0,1.52,1.11,1.51,,1.29,1.45,1.0,1.04,1.0,1.11,1.22,0.83,1.1,1.21,0.96,0.72
d_0,1.59,,1.17,1.91,1.33,1.33,1.16,1.32,0.9,1.0,0.98,0.97,0.97,0.74,1.0,0.91
b_0,1.91,1.43,1.78,1.38,,1.24,1.19,1.12,0.82,1.03,1.0,1.1,0.82,1.42,0.85,0.78
f_0,,1.66,1.52,1.59,1.16,1.14,1.48,0.97,1.2,1.03,0.91,1.0,1.19,0.95,1.28,0.72
h_0,2.07,1.4,1.61,1.6,1.62,1.18,,1.34,0.91,1.04,1.22,0.84,,0.86,1.05,1.05
a_0,2.1,1.59,2.01,1.7,1.37,,1.32,0.95,0.83,1.36,0.7,1.05,1.16,1.0,,1.08
e_0,1.87,1.94,,1.77,1.69,,1.21,1.49,1.04,1.0,1.18,0.78,0.96,,1.0,
g_0,1.59,2.49,1.23,1.24,1.96,,1.14,,1.39,1.1,1.29,1.39,0.96,0.93,,
