,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.17,1.06,1.39,1.96,3.73,22.97,40.99,24.93,42.37,46.67,46.14,69.73,83.77,83.15,130.34
f_1,0.86,1.0,1.43,1.39,1.64,2.78,16.41,23.66,28.69,31.2,34.38,33.01,51.85,75.5,78.6,81.99
e_1,0.94,0.7,1.0,1.5,1.72,3.46,15.95,22.82,22.1,34.42,35.17,49.46,58.62,71.58,85.78,91.56
c_1,0.72,0.72,0.67,1.0,1.79,2.05,9.34,10.57,15.87,13.42,17.88,25.8,45.73,49.87,60.17,73.0
b_1,0.51,0.61,0.58,0.56,1.0,3.19,11.91,15.08,15.2,14.36,28.84,28.65,40.2,38.15,53.19,51.13
a_1,0.27,0.36,0.29,0.49,0.31,1.0,5.72,8.26,8.03,8.16,12.75,15.26,22.24,23.84,30.35,23.03
h_1,0.04,0.06,0.06,0.11,0.09,0.17,1.0,1.27,1.93,1.5,1.82,2.52,3.69,3.99,5.92,4.46
c_0,0.02,0.04,0.05,0.09,0.07,0.13,0.77,1.0,1.26,1.3,1.98,1.74,2.92,3.98,4.51,3.75
g_1,0.04,0.04,0.04,0.06,0.06,0.12,0.52,0.85,1.0,0.87,1.23,1.73,2.17,2.91,3.05,3.02
d_0,0.02,0.03,0.03,0.08,0.07,0.12,0.64,0.78,1.09,1.0,1.35,1.32,2.17,2.55,2.51,2.58
b_0,0.02,0.03,0.03,0.06,0.04,0.08,0.57,0.52,0.79,0.69,1.0,1.47,1.98,3.35,2.68,2.6
f_0,0.02,0.03,0.02,0.04,0.03,0.07,0.39,0.58,0.61,0.73,0.72,1.0,1.49,1.98,1.63,2.94
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.27,0.35,0.47,0.46,0.48,0.69,1.0,1.19,1.64,1.41
a_0,0.01,0.01,0.01,0.02,0.03,,0.26,0.26,0.33,0.45,0.3,0.55,0.83,1.0,1.2,1.21
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.17,0.23,0.34,0.36,0.35,0.6,0.59,0.82,1.0,1.17
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.23,0.27,0.33,0.37,0.37,0.32,0.68,0.9,0.81,1.0
