,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.42,1.03,0.97,0.83,0.86,0.84,0.95,1.29,0.86,0.87,0.94,0.79,0.93,0.87,1.17
e_1,0.71,1.0,0.81,1.21,1.2,1.09,1.02,1.42,1.03,1.09,1.11,1.06,0.93,1.14,0.69,0.99
d_1,0.97,1.24,1.0,0.96,0.83,1.09,0.92,1.08,0.73,1.5,0.98,0.95,0.87,0.86,1.04,0.77
c_1,1.03,0.83,1.04,1.0,1.41,0.93,1.03,0.76,0.95,0.91,0.91,0.91,1.09,0.97,1.02,1.12
b_1,1.2,0.83,1.2,0.71,1.0,1.36,0.99,1.02,1.06,0.98,1.24,0.88,1.08,1.04,1.02,1.05
a_1,1.17,0.92,0.92,1.07,0.74,1.0,1.23,1.21,0.93,1.11,1.01,1.42,,0.93,0.93,0.99
h_1,1.21,0.95,1.04,0.98,0.97,0.8,1.0,0.9,1.08,0.88,0.92,0.93,0.9,1.03,0.87,1.15
d_0,1.1,0.67,0.92,1.45,1.07,0.81,1.1,1.0,1.06,1.01,1.02,1.0,1.08,1.16,1.02,1.2
g_1,0.8,0.95,1.35,1.02,0.92,1.08,0.92,0.98,1.0,0.78,0.98,1.16,0.86,0.95,1.02,1.02
c_0,1.19,0.86,0.7,1.11,1.06,0.97,1.13,0.96,1.32,1.0,1.05,1.35,1.33,1.14,1.0,1.06
f_0,1.26,0.87,1.02,1.12,0.85,0.91,1.15,1.02,0.99,0.91,1.0,1.09,1.01,1.15,1.49,0.8
b_0,1.15,0.88,1.04,1.11,1.28,0.62,1.08,0.95,0.88,0.74,0.96,1.0,1.57,1.2,1.07,1.07
a_0,1.34,1.01,1.09,0.94,0.98,,1.13,0.9,1.09,0.75,0.96,0.63,1.0,0.97,1.06,1.02
h_0,1.06,0.86,1.13,1.04,0.91,0.96,1.0,0.91,1.06,0.88,0.89,0.89,1.03,1.0,1.01,1.08
e_0,1.12,1.22,0.89,1.04,1.05,1.06,1.09,0.81,1.05,0.93,0.7,0.98,0.99,0.99,1.0,0.81
g_0,0.88,0.96,1.34,0.94,0.95,0.96,0.88,0.88,1.0,0.95,1.31,0.9,0.97,0.89,1.21,
