,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,0.76,0.83,0.81,0.86,0.44,0.37,0.77,0.43,0.41,0.38,0.35,0.27,,0.23
f_1,1.25,1.0,0.89,0.82,0.93,0.84,0.41,0.44,0.44,0.39,0.45,,0.27,0.31,0.23,0.41
d_1,1.32,1.12,1.0,0.81,0.86,0.59,0.49,0.32,,0.6,0.42,0.46,0.43,0.27,0.38,0.28
c_1,1.21,1.22,1.23,1.0,1.11,0.63,0.56,0.39,0.31,,0.41,0.47,0.34,0.43,0.37,0.3
b_1,1.23,1.07,1.17,0.9,1.0,1.15,0.55,0.7,0.41,0.53,,0.4,0.37,0.32,0.35,0.31
a_1,1.16,1.19,1.69,1.59,0.87,1.0,0.62,0.58,0.59,,,0.64,0.62,,0.4,0.53
h_1,2.29,2.44,2.04,1.78,1.82,1.6,1.0,0.85,0.74,0.78,0.66,0.91,,0.66,0.66,0.73
g_1,2.68,2.26,3.17,2.58,1.42,1.73,1.18,1.0,0.81,0.84,0.75,1.02,0.65,0.69,,
d_0,1.3,2.28,,3.27,2.43,1.7,1.35,1.23,1.0,0.9,0.92,0.84,0.76,0.83,0.69,0.76
c_0,2.31,2.59,1.66,,1.88,,1.27,1.19,1.11,1.0,1.3,0.94,0.98,0.73,0.75,0.68
b_0,2.45,2.24,2.39,2.44,,,1.51,1.34,1.08,0.77,1.0,0.72,0.94,1.57,,0.81
f_0,2.65,,2.18,2.12,2.5,1.56,1.1,0.98,1.19,1.06,1.38,1.0,1.1,,1.12,0.66
h_0,2.82,3.75,2.31,2.94,2.67,1.62,,1.54,1.32,1.03,1.06,0.91,,0.97,0.69,1.15
a_0,3.69,3.2,3.76,2.32,3.08,,1.51,1.45,1.21,1.38,0.64,,1.03,1.0,,0.75
e_0,,4.39,2.61,2.67,2.83,2.53,1.52,,1.46,1.34,,0.89,1.45,,1.0,0.87
g_0,4.28,2.45,3.58,3.31,3.22,1.88,1.37,,1.32,1.46,1.23,1.51,0.87,1.32,1.15,
