,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.52,0.72,0.77,0.58,0.63,0.58,0.81,0.46,0.64,1.26,0.86,0.82,0.83,0.78,0.7,0.79
e_1,0.62,1.52,0.62,0.83,0.63,0.61,0.82,1.36,0.77,0.76,0.82,0.88,0.97,0.76,0.56,0.81
f_1,0.71,1.07,1.53,0.68,0.53,0.59,0.66,0.77,0.77,0.75,0.43,0.7,0.66,0.64,0.48,0.64
c_1,0.74,0.67,0.73,1.55,0.99,0.46,0.7,0.71,0.65,0.44,0.74,0.57,0.96,0.62,0.59,0.96
b_1,0.75,0.66,0.71,0.64,1.62,0.95,0.87,0.74,0.67,0.82,0.74,0.53,0.8,0.54,0.78,0.94
a_1,0.79,0.74,0.62,0.76,0.64,1.73,0.99,1.04,0.89,0.96,1.03,0.96,1.09,0.5,0.97,0.87
h_1,0.99,0.76,1.32,0.99,0.75,0.57,1.74,1.03,1.35,0.96,0.92,1.0,0.87,0.91,0.86,1.26
d_0,0.78,0.78,0.94,1.6,1.0,0.8,1.06,1.54,0.83,0.79,0.99,1.0,1.15,0.71,0.82,1.09
g_1,1.36,0.86,0.85,0.87,0.86,0.69,0.74,1.18,1.83,1.01,1.43,1.11,1.24,1.08,1.05,0.7
c_0,0.86,0.96,1.14,0.79,0.72,0.67,1.29,1.35,0.96,1.63,1.17,2.13,1.33,1.11,1.1,1.4
f_0,1.02,0.84,0.83,1.08,0.96,0.75,1.14,1.22,1.06,0.99,1.64,1.17,1.34,0.98,1.66,0.96
b_0,1.04,0.91,1.24,1.17,0.48,0.55,1.07,1.27,0.97,0.83,1.14,1.64,1.35,1.75,1.04,1.01
h_0,1.17,0.9,1.45,0.92,0.87,0.7,0.81,1.15,1.11,1.01,1.09,1.09,0.98,0.85,0.95,1.3
a_0,1.14,0.95,1.16,0.97,0.85,0.51,1.31,1.32,0.82,1.22,1.35,0.88,1.45,1.73,1.14,1.22
e_0,1.25,0.6,1.24,1.14,0.82,0.74,1.34,1.31,0.98,1.13,1.01,1.14,1.42,1.08,1.74,1.33
g_0,1.49,0.89,1.07,0.87,0.83,0.77,1.09,1.01,0.95,1.1,1.74,1.33,1.34,1.05,0.99,1.05
