,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.15,43.02,101.88,89.71,102.67,83.56,24.06,25.21,20.81,10.91,20.46,16.0,12.35,24.6,,15.43
f_1,87.8,1.15,93.14,108.28,93.33,116.06,17.54,26.15,13.16,15.5,,16.5,7.5,17.57,19.33,13.5
d_1,171.43,88.2,1.15,82.63,81.05,74.61,27.16,16.81,,21.04,22.17,20.31,15.56,23.06,10.88,7.36
c_1,76.6,86.05,116.43,1.15,123.2,116.06,25.52,22.06,12.4,,14.78,16.5,19.09,26.36,24.86,14.09
b_1,94.74,141.12,98.79,64.08,1.15,109.95,22.76,24.34,18.97,29.45,14.78,,14.48,16.77,23.2,12.96
a_1,200.0,147.0,148.18,157.0,83.24,1.15,40.1,44.13,28.04,29.45,31.29,48.0,16.15,,,21.6
h_1,85.71,110.25,85.79,74.76,114.07,90.83,2.0,27.15,17.92,16.36,15.2,22.0,,19.42,15.82,17.05
g_1,116.13,153.39,101.88,157.0,123.2,122.88,28.07,2.0,17.43,25.61,19.0,31.06,11.67,18.45,24.86,
d_0,52.17,103.76,,87.22,90.59,116.06,24.06,30.7,2.97,19.63,19.7,18.86,10.5,24.6,21.75,14.09
c_0,109.09,84.0,53.44,,99.35,87.04,38.27,26.15,24.81,3.22,29.56,17.6,16.15,20.5,14.5,13.5
f_0,120.0,,141.74,130.83,85.56,104.45,44.32,18.1,28.04,21.04,3.02,27.79,14.0,26.36,23.2,9.0
b_0,150.0,113.81,98.79,120.77,,116.06,29.03,28.24,28.04,11.33,33.25,2.98,14.48,23.06,,17.05
h_0,85.71,100.8,74.09,84.86,81.05,99.48,,54.31,17.92,23.56,20.46,15.09,,16.77,16.57,12.96
a_0,180.0,176.4,181.11,149.52,181.18,,60.14,47.07,37.94,31.0,38.0,20.31,28.0,2.77,,29.45
e_0,,153.39,181.11,224.29,181.18,,44.32,64.18,40.31,39.27,20.46,,28.0,,3.08,21.6
g_0,144.0,196.0,181.11,120.77,133.91,189.91,17.54,,25.8,32.72,19.7,26.4,12.0,23.06,24.86,
