,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.18,0.06,0.04,0.03,0.02,0.03,0.07,0.06,0.04,0.06,0.05,,0.06,0.02,0.05,0.03
e_1,0.04,2.19,0.02,0.02,0.02,0.02,0.06,0.12,0.05,0.06,0.06,0.06,0.08,,0.06,0.06
c_1,0.03,0.04,2.33,0.03,0.05,0.03,0.05,0.07,0.05,,0.04,0.05,0.08,0.04,0.04,0.08
d_1,0.04,0.03,0.02,2.46,0.02,0.02,0.06,,0.05,0.12,0.06,0.04,0.1,0.05,0.04,0.07
b_1,0.04,0.03,0.02,0.03,2.54,0.04,0.04,0.06,0.05,0.05,,0.07,0.09,0.06,0.03,0.07
a_1,0.03,0.03,0.03,0.03,0.02,2.99,0.06,0.07,0.04,,0.06,0.06,0.11,0.06,,
h_1,0.16,0.12,0.1,0.11,0.12,0.08,2.64,0.22,0.21,0.28,0.2,0.19,,0.21,0.14,0.28
d_0,0.17,0.15,0.29,,0.09,0.08,0.28,1.95,0.2,0.27,0.26,0.25,0.44,0.27,0.31,0.35
g_1,0.13,0.07,0.11,0.15,0.12,0.07,0.2,0.21,3.03,0.24,0.23,0.28,0.25,0.2,0.19,
c_0,0.17,0.15,,0.15,0.1,,0.24,0.22,0.23,2.08,0.7,0.35,0.44,0.24,0.24,0.33
b_0,0.14,0.2,0.11,0.1,,0.12,0.32,0.38,0.25,0.35,2.22,0.29,0.34,0.22,0.43,0.35
f_0,,0.11,0.15,0.16,0.15,0.09,0.29,0.48,0.29,0.22,0.32,2.4,0.28,0.42,,0.36
h_0,0.23,0.16,0.19,0.23,0.25,0.15,,0.54,0.44,0.63,0.45,0.41,,0.5,,0.72
e_0,0.1,,0.22,0.12,0.15,0.15,0.42,0.27,0.3,0.38,0.22,0.21,0.39,2.61,,0.36
a_0,0.13,0.14,0.18,0.12,0.15,,0.31,0.48,0.27,0.33,0.21,,,,2.72,
g_0,0.16,0.21,0.21,0.36,0.23,,0.42,0.46,,0.44,0.34,0.81,0.37,0.51,,
