,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.52,1.03,0.9,1.2,0.89,0.82,1.17,1.79,1.11,1.04,1.18,1.11,1.1,1.32,1.28,0.94
f_1,1.42,1.52,0.93,1.0,0.84,0.79,1.06,1.26,1.09,1.14,1.06,0.85,0.97,1.17,1.11,0.75
d_1,1.12,1.17,1.57,0.85,0.85,0.8,1.23,1.05,0.9,1.77,1.32,1.15,1.13,1.37,1.19,1.05
c_1,0.95,1.02,1.1,1.59,1.44,0.88,1.23,0.99,1.04,0.89,0.92,1.07,0.92,1.18,1.04,1.08
b_1,1.04,1.1,1.11,0.89,1.68,1.49,1.32,1.11,1.19,1.28,1.02,1.28,0.93,1.43,1.28,1.11
a_1,1.21,1.19,1.15,1.11,0.78,1.78,1.51,1.28,1.27,1.35,1.48,1.35,0.99,1.34,1.5,1.05
h_1,1.3,1.57,1.32,1.11,1.08,0.91,1.84,1.32,1.41,1.38,1.24,1.34,1.2,1.34,1.72,1.33
d_0,1.11,1.35,1.14,1.96,1.27,1.01,1.54,1.79,1.34,1.1,1.41,1.34,1.31,1.47,1.47,1.36
g_1,1.25,1.17,1.74,1.31,1.1,0.91,1.48,1.38,1.96,1.54,1.57,2.05,1.4,1.41,1.46,1.54
c_0,1.52,1.48,1.18,1.39,1.04,0.9,1.57,1.83,1.34,1.83,2.27,1.61,1.67,1.76,1.85,1.34
b_0,1.37,1.54,1.33,1.51,1.12,0.76,1.58,1.75,1.38,1.2,1.84,1.58,2.25,1.65,1.55,1.4
f_0,1.25,1.42,1.46,1.4,1.22,1.0,1.46,1.6,1.22,1.42,1.52,1.9,1.45,1.8,1.61,2.33
a_0,1.35,1.49,1.51,1.67,1.34,0.85,1.71,1.71,1.47,1.41,1.3,1.57,1.95,1.67,1.62,1.69
h_0,1.43,1.69,1.39,1.43,1.09,1.2,1.57,1.74,1.86,1.41,1.5,1.44,1.48,1.44,1.95,1.35
g_0,1.28,1.41,1.79,1.44,1.21,0.95,1.62,1.51,1.23,1.45,1.62,1.91,1.67,1.55,1.5,1.54
e_0,1.27,1.78,1.46,1.37,1.35,1.19,1.58,1.63,1.45,1.63,1.52,1.28,1.47,1.81,1.54,1.92
