,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,16.23,0.54,0.45,0.54,1.38,0.43,0.89,0.81,0.84,0.27,1.01,0.61,1.01,0.96,0.78,0.87
f_1,0.58,16.21,0.67,1.21,0.43,0.4,0.85,0.81,0.77,0.85,0.34,0.98,0.83,0.47,0.98,0.72
d_1,0.4,0.64,18.64,0.45,0.51,0.52,1.03,0.93,0.42,2.39,1.12,1.42,0.97,1.15,1.05,1.03
e_1,0.69,0.57,0.45,18.24,0.58,0.55,0.72,0.86,2.25,0.82,0.98,0.95,1.03,0.47,0.92,1.1
b_1,0.52,0.56,0.53,0.56,18.0,1.55,0.95,0.69,0.84,0.74,0.91,0.34,0.92,0.88,0.75,0.81
a_1,0.75,0.62,0.5,0.45,0.49,30.21,0.84,1.03,0.93,0.92,1.03,0.86,0.97,1.33,0.48,1.04
h_1,0.71,1.16,0.83,0.62,0.54,0.82,4.67,1.67,0.96,1.25,0.99,1.23,0.71,1.08,1.21,1.55
g_1,0.62,0.59,1.61,0.59,0.62,0.54,1.18,5.88,0.99,1.16,2.26,1.15,1.1,1.55,1.09,0.83
d_0,2.19,0.69,0.36,0.74,0.68,0.68,0.9,1.03,2.86,0.68,1.29,1.07,1.13,1.18,1.14,1.18
c_0,0.52,0.79,0.96,0.66,0.44,0.69,1.28,1.27,1.13,3.27,1.38,3.97,1.46,1.47,1.32,1.57
f_0,0.88,0.37,1.04,0.57,0.75,0.86,1.2,1.02,0.94,1.26,3.6,1.49,1.23,3.11,1.38,1.31
b_0,0.72,1.07,0.91,0.7,0.37,0.49,1.21,1.21,1.31,1.21,0.97,3.47,1.64,1.42,3.27,1.49
h_0,0.68,1.12,0.84,0.73,0.61,0.64,0.75,1.87,1.22,1.11,1.19,1.11,0.72,1.26,1.34,1.91
e_0,0.8,1.03,1.0,0.27,0.77,0.67,1.53,1.39,0.86,0.84,1.11,1.28,1.54,5.05,1.22,1.3
a_0,0.8,0.81,1.05,0.61,0.62,0.47,1.31,1.24,1.03,1.04,0.94,1.0,1.33,1.28,4.36,1.37
g_0,0.88,0.55,1.41,0.57,0.72,0.58,0.9,0.69,0.99,1.36,2.0,1.29,1.32,1.25,1.27,0.84
