,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.08,1.57,2.32,2.38,2.47,2.34,0.68,0.72,0.56,0.51,0.54,0.64,0.5,0.35,0.38,0.7
f_1,2.15,1.09,2.23,2.33,2.33,2.16,0.55,0.84,0.54,0.47,0.47,0.65,0.47,0.26,0.37,0.43
d_1,3.16,2.51,1.09,2.59,2.44,2.24,0.72,0.45,0.69,0.46,0.5,0.47,0.41,0.32,0.25,0.42
c_1,2.26,2.58,3.03,1.09,2.63,2.19,0.68,0.74,0.35,0.73,0.57,0.5,0.52,0.37,0.38,0.44
b_1,3.52,3.39,3.37,1.93,1.1,3.12,0.91,0.91,0.66,0.91,1.05,0.72,0.72,0.51,0.46,0.54
a_1,5.64,5.1,4.47,5.08,2.5,1.13,1.73,1.23,1.08,1.0,1.24,0.96,1.52,0.74,0.78,0.81
h_1,8.92,8.67,8.84,8.49,10.27,6.98,1.53,2.42,1.98,2.0,1.97,1.72,1.7,1.52,1.25,1.47
g_1,10.1,10.74,9.54,10.5,10.31,8.96,2.38,1.56,2.36,2.24,2.23,1.87,2.13,1.35,1.56,1.99
d_0,7.62,10.49,16.67,12.06,12.5,10.34,3.82,4.33,1.84,2.59,2.58,2.57,2.72,1.83,1.81,2.31
c_0,11.95,13.85,7.27,16.99,12.62,11.6,3.5,3.25,3.72,1.78,2.55,2.44,2.33,1.98,1.53,2.2
b_0,12.32,12.42,10.52,16.39,18.25,10.9,3.69,3.85,2.96,1.65,1.76,2.71,2.49,1.79,1.7,2.68
f_0,12.44,19.19,14.09,13.24,14.52,12.39,3.86,2.49,2.76,2.62,2.79,1.81,2.59,2.13,1.26,2.58
a_0,18.95,18.21,16.19,17.26,20.94,20.33,4.47,5.72,4.04,3.29,2.22,3.55,2.07,2.32,2.3,3.44
h_0,17.34,18.79,16.84,17.64,17.43,14.47,6.07,5.06,4.09,3.52,3.39,3.28,3.56,3.28,2.45,3.44
g_0,23.6,21.61,23.71,22.38,24.33,21.54,5.29,6.95,4.75,5.0,4.55,4.61,3.74,2.58,3.82,3.55
e_0,24.07,31.47,26.72,22.53,21.1,17.74,5.86,5.24,4.14,5.41,4.96,2.62,4.38,3.52,2.85,2.32
