,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.7,0.53,0.51,0.74,0.56,0.54,2.33,2.29,5.02,2.51,2.7,3.29,4.36,0.81,3.39,4.21
d_1,0.58,5.95,0.65,0.46,0.62,0.57,2.32,2.45,0.6,5.37,3.58,2.8,4.35,3.11,3.39,3.43
f_1,1.18,0.57,6.12,0.58,0.47,0.47,2.19,1.81,2.93,2.7,3.05,0.41,2.98,1.9,2.69,4.34
c_1,0.49,0.59,0.58,6.84,1.2,0.58,1.89,2.3,3.17,0.4,2.22,2.74,4.59,2.29,2.83,3.65
b_1,0.51,0.58,0.62,0.51,7.69,1.11,2.49,2.21,3.03,3.09,0.71,3.18,4.59,2.82,1.63,4.05
a_1,0.54,0.58,0.72,0.73,0.51,10.35,2.36,2.11,1.99,2.73,3.21,2.59,4.52,3.74,0.47,4.62
h_1,0.82,1.03,1.68,0.79,0.96,0.87,15.72,4.9,4.45,5.41,4.5,4.82,3.09,6.09,5.47,11.94
g_1,0.86,1.8,0.77,1.08,0.9,1.05,3.41,16.07,4.21,3.97,4.96,7.58,5.82,6.41,4.62,3.03
d_0,1.26,0.42,0.9,2.08,0.99,1.24,4.05,2.97,13.17,3.6,3.38,4.76,7.13,5.84,4.69,8.78
c_0,1.26,1.42,1.21,0.4,0.75,0.96,3.59,3.68,4.09,14.65,9.29,5.9,9.41,5.9,5.39,7.09
b_0,0.84,1.19,1.34,1.13,0.24,1.08,4.34,3.45,5.57,5.44,16.7,6.1,8.27,5.22,12.88,8.16
f_0,1.0,1.34,0.35,1.21,1.21,0.89,4.34,3.12,5.95,3.91,5.19,16.62,10.62,11.89,5.83,10.29
h_0,0.71,1.16,1.73,0.95,1.01,1.17,0.86,5.22,4.61,5.51,6.33,5.21,2.73,5.5,4.56,8.95
e_0,0.3,1.21,1.23,1.17,1.1,1.18,3.44,6.01,6.66,5.03,7.56,6.0,10.56,23.32,5.84,9.35
a_0,1.01,1.13,1.35,1.09,1.1,,3.42,3.64,6.49,4.55,6.81,7.05,9.76,5.49,24.21,7.03
g_0,0.71,1.86,0.87,1.12,0.8,0.97,3.85,1.66,5.05,4.3,5.35,8.16,10.38,6.82,5.54,2.81
