,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,17.7,0.4,0.54,0.67,0.55,0.54,0.82,0.7,2.2,0.91,1.03,1.0,0.95,0.95,0.44,0.96
d_1,0.52,19.78,0.58,0.4,0.5,0.5,1.02,0.9,0.36,2.08,1.14,1.04,0.8,1.06,0.98,1.02
f_1,1.02,0.46,17.36,0.58,0.5,0.47,0.66,0.72,0.73,0.86,0.9,0.45,1.01,1.04,0.85,1.0
c_1,0.52,0.52,0.62,19.27,1.13,0.36,0.75,0.85,0.85,0.25,0.58,0.64,0.96,1.01,0.92,0.77
b_1,0.47,0.56,0.51,0.49,21.09,1.31,0.99,0.88,0.86,0.77,0.26,0.71,0.85,0.6,0.8,0.82
a_1,0.53,0.69,0.44,0.52,0.46,31.17,0.84,1.04,0.84,0.89,1.13,1.36,1.12,0.33,0.95,1.23
h_1,0.63,0.61,1.15,0.65,0.5,0.79,5.84,1.51,1.13,1.07,1.24,1.09,0.71,1.09,1.1,1.53
g_1,0.46,1.26,0.65,0.67,0.63,0.5,1.21,6.3,0.8,1.52,1.15,1.97,1.14,0.91,1.34,0.65
d_0,0.57,0.38,0.71,1.97,0.59,0.54,1.1,1.13,3.12,0.86,1.23,1.28,1.36,1.05,1.39,1.06
c_0,0.68,0.84,0.69,0.37,0.54,0.76,1.27,1.32,0.96,3.03,3.27,1.34,1.35,1.2,1.49,1.11
b_0,0.56,0.84,0.76,0.78,0.33,0.65,1.18,1.24,1.03,1.09,3.88,1.49,1.21,2.81,1.29,1.11
f_0,0.56,0.91,0.36,0.82,0.54,0.81,1.37,1.19,1.22,0.99,1.19,4.0,1.69,1.15,3.63,1.28
h_0,0.5,0.88,1.17,0.79,0.71,0.51,0.64,1.52,1.15,0.95,1.19,1.05,0.71,1.21,1.37,1.81
a_0,0.59,0.65,0.72,0.93,0.71,0.36,1.5,1.46,1.07,0.96,1.75,1.71,1.5,4.42,1.55,1.32
e_0,0.24,1.06,0.88,0.85,0.55,0.44,1.55,0.98,1.27,1.26,1.41,1.35,1.94,1.5,5.33,1.39
g_0,0.55,1.22,0.7,0.79,0.58,0.69,1.07,0.48,1.0,1.13,1.39,2.45,1.34,1.44,1.17,0.71
