,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.77,0.99,1.11,0.98,0.83,0.8,0.7,0.88,0.55,0.63,0.68,0.61,0.57,0.54,0.72
f_1,1.28,1.0,0.88,0.99,0.84,0.77,0.62,0.67,0.66,0.68,0.63,0.57,0.44,0.54,0.5,0.49
d_1,1.02,1.14,1.0,0.82,0.98,0.89,0.71,0.58,0.78,0.83,0.67,0.61,0.67,0.44,0.57,0.55
c_1,0.9,1.02,1.22,1.0,1.29,0.81,0.71,0.64,0.48,0.58,0.47,0.57,0.62,0.6,0.56,0.49
b_1,1.02,1.19,1.02,0.78,1.0,1.18,0.7,0.73,0.69,0.86,0.66,0.67,0.7,0.62,0.58,0.63
a_1,1.21,1.29,1.11,1.22,0.83,1.0,0.97,0.95,0.8,0.61,0.78,0.69,0.73,0.69,0.64,0.63
h_1,1.3,1.63,1.37,1.43,1.36,1.03,1.0,1.07,0.87,0.82,0.85,1.0,0.83,0.94,0.78,0.74
g_1,1.43,1.46,1.73,1.5,1.38,1.1,0.95,1.0,0.83,0.97,0.92,1.18,0.77,0.9,0.96,0.87
d_0,1.12,1.51,1.47,2.13,1.43,1.26,1.15,1.15,1.0,0.8,0.96,1.06,0.95,0.9,0.83,0.91
c_0,1.76,1.53,1.17,1.68,1.21,1.49,1.27,1.03,1.23,1.0,1.63,0.96,0.96,1.06,0.91,0.8
b_0,1.55,1.66,1.51,2.0,1.61,1.27,1.19,1.09,1.03,0.7,1.0,0.95,1.03,1.02,1.26,0.86
f_0,1.34,1.8,1.56,1.82,1.53,1.48,0.99,0.87,1.04,1.02,1.1,1.0,1.16,0.88,1.04,1.26
h_0,1.64,2.3,1.54,1.61,1.39,1.3,1.27,1.35,1.04,1.08,0.96,0.89,1.0,1.1,0.88,0.87
g_0,1.69,1.79,2.31,1.72,1.6,1.41,1.05,1.12,1.09,0.93,0.98,1.18,0.94,0.99,0.9,0.81
a_0,1.85,2.0,1.64,1.8,1.85,1.56,1.26,1.05,1.19,1.12,0.8,0.99,1.17,1.13,1.0,0.9
e_0,1.38,2.16,1.8,1.99,1.66,1.44,1.38,1.16,1.22,1.16,1.16,0.82,1.09,1.18,1.13,1.0
