,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,14.62,0.54,1.28,0.52,0.5,0.5,0.76,0.72,0.83,0.85,0.77,0.39,0.86,0.82,0.64,0.69
d_1,0.6,16.76,0.5,0.48,0.5,0.56,0.94,0.93,2.13,0.36,1.28,0.89,0.92,0.98,1.08,0.88
e_1,0.67,0.43,16.65,0.67,0.54,0.53,0.85,0.91,0.88,2.16,1.14,0.94,1.0,0.97,0.52,1.08
c_1,0.51,0.5,0.44,18.91,1.4,0.6,0.72,0.78,0.33,0.93,0.67,1.09,0.9,0.86,0.98,1.09
b_1,0.53,0.65,0.49,0.57,19.93,1.26,0.96,0.68,0.8,1.04,0.3,0.95,0.89,0.91,0.91,0.98
a_1,0.56,0.7,0.5,0.61,0.49,29.3,0.8,1.08,0.85,0.74,1.08,1.11,1.3,0.4,1.0,0.82
h_1,1.14,0.82,0.56,0.84,0.59,0.58,5.5,1.76,0.9,0.92,0.89,1.22,0.82,0.99,1.26,1.75
g_1,0.54,1.51,0.6,0.82,0.59,0.58,1.25,6.18,1.0,0.8,1.02,2.03,1.14,1.35,1.27,0.77
c_0,0.91,0.86,0.68,0.44,0.49,0.83,1.31,1.21,3.17,0.88,3.21,1.12,1.37,1.5,1.25,1.42
d_0,0.79,0.33,0.69,2.25,0.74,0.68,1.14,1.02,0.55,3.1,1.02,1.26,1.17,1.08,1.19,1.05
b_0,0.8,0.68,0.78,0.76,0.52,0.57,1.32,1.39,1.16,1.21,3.47,1.11,1.19,3.31,1.29,1.29
f_0,0.43,1.01,0.57,0.91,0.66,0.7,1.55,1.2,1.26,0.86,1.42,3.88,1.72,1.3,3.41,1.36
h_0,1.19,0.84,0.7,0.73,0.76,0.68,0.7,1.69,0.91,0.98,1.25,1.13,0.78,1.11,1.24,1.84
a_0,0.87,0.75,0.75,0.75,0.7,0.35,1.61,1.02,1.37,1.13,1.31,1.46,1.67,4.33,1.42,1.46
e_0,0.86,0.9,0.34,0.94,0.82,0.71,1.47,1.2,1.2,0.96,1.35,1.38,1.07,0.99,5.28,1.27
g_0,0.61,1.82,0.38,0.62,0.7,0.73,1.36,0.73,1.34,0.79,1.23,2.23,1.23,1.32,1.42,0.75
