,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,91.97,31.88,37.4,67.87,109.82,172.12,5232.01,17376.23,12315.66,11374.56,16291.05,23098.0,82602.03,90516.29,44995.63,109441.04
f_1,42.62,107.24,40.1,62.3,65.79,165.33,5344.53,8961.5,11748.5,8954.07,16475.94,8767.83,53636.26,72511.11,72658.58,129654.03
d_1,29.24,34.0,136.55,36.19,85.6,180.11,4562.24,3138.89,15242.74,8875.51,12367.64,17656.88,57003.81,65945.43,59941.62,80687.08
c_1,24.15,23.26,45.47,163.77,124.36,146.6,3611.34,6767.75,2727.55,7912.82,12491.77,15094.0,57137.91,49082.37,72712.13,78379.28
b_1,15.49,30.08,30.49,37.88,230.51,234.46,3695.84,8674.58,7982.06,9735.67,7562.36,13221.79,44547.89,56330.38,61054.65,63657.55
a_1,17.96,23.24,24.26,33.37,32.35,446.92,3760.65,6536.6,4790.85,4261.21,7950.58,8925.04,35071.49,25041.72,57305.74,66284.75
h_1,7.96,13.69,16.72,17.25,25.73,42.77,3079.94,2606.74,3289.75,3902.66,4724.55,5217.56,11456.64,20530.27,19722.94,37113.22
d_0,6.17,10.03,7.24,26.73,20.87,43.33,1143.45,4083.95,2404.89,2546.42,3548.81,4992.93,16475.92,15389.38,18769.35,24713.44
c_0,7.03,10.0,11.64,10.2,17.99,58.92,1301.09,2032.88,4538.34,2690.66,6013.66,4889.27,16293.09,17821.22,20590.68,28209.32
g_1,5.93,7.27,18.06,13.44,15.62,53.66,1077.11,2145.47,2391.0,5718.67,3237.13,5898.71,13319.43,13594.27,24274.4,12718.49
b_0,6.68,8.01,12.18,12.46,7.36,47.61,1216.7,2467.56,2311.96,2476.12,5836.18,4286.42,14726.56,25040.85,20029.86,25092.21
f_0,5.14,4.81,10.67,14.64,16.63,46.32,1101.76,2112.7,2602.33,2584.18,3609.17,6950.6,14577.67,14725.64,27929.26,21396.54
h_0,3.46,6.69,6.42,8.34,12.36,29.52,536.62,1661.09,1708.41,2112.5,2123.44,3207.77,6020.84,9399.8,12956.7,18121.24
a_0,3.49,5.62,6.42,9.42,8.54,,893.47,1302.78,1499.78,1864.73,1541.24,3159.33,9423.5,20093.43,11046.95,15732.77
e_0,,5.14,7.24,6.99,11.62,25.56,651.48,1365.87,1485.13,1506.32,2450.26,2485.65,10005.84,10248.38,22388.67,13669.01
g_0,3.34,3.31,8.71,7.68,12.06,17.96,554.43,1164.09,1384.38,947.11,1963.71,3672.2,7142.63,9012.93,9870.39,9786.99
