,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,0.8,1.47,1.25,1.37,1.07,0.83,0.84,0.78,0.69,0.69,0.68,0.58,0.57,1.38,0.54
f_1,1.48,0.41,1.3,1.55,1.1,1.33,0.54,0.64,0.53,0.53,1.24,0.55,0.49,0.34,0.47,0.56
d_1,1.2,1.45,0.41,1.26,1.41,1.44,0.73,0.56,0.59,1.45,0.49,0.56,0.52,0.45,0.68,0.31
c_1,1.26,1.15,1.57,0.38,1.54,1.48,0.71,0.52,0.69,0.38,0.57,0.52,0.6,0.54,0.57,0.49
b_1,1.27,1.51,1.2,0.8,0.36,1.56,0.81,0.67,0.67,0.6,0.69,1.64,0.7,0.52,0.48,0.6
a_1,1.34,1.37,1.13,1.35,0.88,0.31,0.72,0.76,0.61,0.84,0.6,0.63,1.47,0.51,0.78,0.53
h_1,0.86,1.13,0.92,0.91,0.87,0.95,0.26,0.81,0.41,0.44,0.41,0.4,0.49,0.67,0.4,0.51
g_1,0.87,1.16,1.02,1.09,0.97,0.94,0.38,0.24,0.43,0.37,0.48,0.44,0.45,0.31,0.41,0.73
c_0,0.81,1.15,0.62,,0.98,0.93,0.54,0.52,0.27,0.45,0.43,0.58,0.51,0.39,0.46,0.42
d_0,0.62,1.02,1.37,1.14,0.98,0.85,0.51,0.69,0.46,0.26,0.34,0.42,0.45,0.45,0.41,0.42
f_0,0.93,1.97,0.89,0.91,0.88,0.88,0.52,0.41,0.38,0.49,0.24,0.33,0.44,0.4,0.52,0.27
b_0,0.98,1.02,0.85,1.15,1.48,1.0,0.45,0.51,0.23,0.4,0.46,0.25,0.56,0.36,0.33,0.37
a_0,1.02,1.04,0.97,0.98,1.15,1.13,0.43,0.51,0.34,0.38,0.46,0.24,0.22,0.4,0.39,0.33
h_0,0.87,1.08,1.19,1.07,0.77,0.81,0.73,0.51,0.43,0.35,0.4,0.43,0.41,0.55,0.37,0.39
e_0,1.7,1.26,0.74,1.0,1.13,0.76,0.46,0.75,0.42,0.5,0.23,0.47,0.39,0.43,0.2,0.29
g_0,0.93,1.01,1.14,0.97,0.91,0.9,0.34,0.63,0.34,0.45,0.45,0.39,0.41,0.32,0.43,0.53
