,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.92,0.44,0.44,0.3,0.33,0.22,0.37,0.29,0.62,0.29,0.41,0.31,0.4,0.36,0.22,0.2
e_1,0.38,0.92,0.41,0.45,0.32,0.24,0.4,0.3,0.37,0.59,0.36,0.32,0.37,0.32,0.24,0.18
f_1,0.38,0.64,0.91,0.39,0.33,0.21,0.33,0.26,0.3,0.36,0.28,0.21,0.34,0.26,0.21,0.16
c_1,0.4,0.37,0.43,0.92,0.59,0.25,0.32,0.3,0.2,0.32,0.21,0.25,0.38,0.29,0.19,0.23
b_1,0.43,0.38,0.43,0.37,0.9,0.48,0.32,0.28,0.3,0.34,0.22,0.28,0.35,0.28,0.13,0.22
a_1,0.44,0.42,0.42,0.38,0.33,0.89,0.38,0.31,0.4,0.39,0.38,0.31,0.42,0.26,0.17,0.2
h_1,0.5,0.4,0.55,0.35,0.36,0.24,0.66,0.43,0.41,0.34,0.37,0.34,0.32,0.4,0.26,0.25
g_1,0.68,0.44,0.44,0.33,0.34,0.22,0.36,0.63,0.38,0.28,0.35,0.41,0.37,0.26,0.24,0.25
c_0,0.51,0.49,0.52,0.31,0.27,0.21,0.44,0.31,0.58,0.36,0.62,0.34,0.43,0.36,0.33,0.25
d_0,0.35,0.42,0.49,0.69,0.35,0.23,0.37,0.3,0.24,0.54,0.3,0.3,0.39,0.34,0.24,0.25
b_0,0.48,0.45,0.49,0.47,0.28,0.15,0.4,0.32,0.38,0.41,0.56,0.3,0.46,0.37,0.47,0.24
f_0,0.54,0.4,0.39,0.44,0.32,0.25,0.38,0.37,0.41,0.41,0.38,0.51,0.44,0.37,0.25,0.42
h_0,0.49,0.47,0.59,0.41,0.32,0.24,0.28,0.38,0.37,0.36,0.34,0.26,0.3,0.44,0.19,0.24
g_0,0.62,0.4,0.43,0.39,0.33,0.28,0.39,0.27,0.41,0.35,0.38,0.47,0.36,0.3,0.23,0.27
a_0,0.48,0.44,0.47,0.49,0.39,0.17,0.42,0.31,0.36,0.34,0.32,0.34,0.46,0.38,0.46,0.22
e_0,0.48,0.36,0.51,0.42,0.37,0.26,0.41,0.34,0.35,0.33,0.38,0.31,0.48,0.34,0.24,0.45
