,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.85,3.02,2.63,2.91,2.7,0.68,0.95,0.71,0.5,0.54,0.87,0.32,0.54,0.52,0.47
e_1,1.89,1.1,3.66,3.08,3.23,2.69,0.9,1.24,0.68,0.67,0.62,0.89,0.46,0.59,1.05,0.53
c_1,3.43,2.59,1.11,4.18,3.07,3.24,0.95,0.85,0.38,0.88,0.63,0.56,0.47,0.67,0.62,0.43
d_1,3.26,3.88,3.11,1.1,3.5,2.62,0.86,0.58,1.03,0.63,0.7,0.7,0.48,0.69,0.72,0.32
b_1,4.08,3.89,2.3,3.73,1.12,4.08,1.1,1.16,0.85,1.17,1.36,0.86,0.63,0.8,0.77,0.58
a_1,7.82,6.22,5.6,5.88,2.82,1.13,2.02,1.66,1.17,0.98,1.52,0.99,0.9,1.4,0.95,0.83
h_1,11.55,10.56,11.39,10.65,9.63,9.07,1.63,3.25,2.39,2.16,2.54,2.03,2.7,2.13,2.07,1.79
g_1,16.29,14.73,13.98,14.39,13.72,14.35,3.38,1.68,3.15,2.94,3.03,2.84,1.63,3.53,2.53,2.16
d_0,15.8,8.68,17.17,22.17,14.95,13.93,4.54,4.93,2.13,3.26,3.33,2.92,2.57,3.94,3.08,2.69
c_0,15.21,16.43,28.08,8.8,15.36,13.93,4.54,4.38,4.83,2.08,3.22,3.24,2.35,3.33,3.95,2.08
b_0,16.74,15.43,23.34,12.02,23.48,14.68,5.01,4.59,3.61,1.86,2.01,3.79,2.56,2.9,3.56,2.65
f_0,24.66,17.31,19.61,16.32,18.1,16.44,5.35,3.25,3.61,3.54,4.13,2.04,2.39,4.19,3.28,1.78
h_0,21.99,23.5,21.24,20.25,23.29,20.9,8.21,6.17,4.04,4.27,3.88,4.19,3.76,3.56,3.63,2.8
a_0,25.35,23.98,24.19,17.74,23.48,28.28,6.95,6.11,5.58,4.21,2.68,7.01,3.3,2.23,5.17,3.29
e_0,35.78,34.46,24.55,23.44,23.48,25.3,7.5,5.5,5.39,5.15,5.53,2.57,4.7,6.88,2.32,3.14
g_0,27.44,25.72,25.49,25.05,26.06,31.02,5.46,9.12,4.83,5.51,5.7,4.99,2.84,5.41,4.53,5.22
