,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.14,5.54,12.44,9.93,11.53,8.18,3.74,3.74,3.08,2.28,2.78,2.75,2.27,1.83,11.15,1.73
f_1,11.05,1.14,12.18,14.15,9.7,12.2,2.31,3.15,2.16,2.02,10.65,2.21,1.85,1.02,1.91,2.01
d_1,11.01,13.73,1.14,12.24,12.7,12.67,3.5,2.38,1.94,11.68,1.82,2.21,2.08,1.59,2.65,0.89
c_1,12.68,12.33,17.71,1.14,13.64,16.79,3.71,2.61,6.88,1.54,2.55,2.51,2.84,2.24,2.67,1.96
b_1,14.64,16.98,13.56,7.71,1.15,15.97,4.93,4.0,3.76,3.19,3.64,19.36,4.32,2.08,2.41,2.8
a_1,19.68,22.53,17.54,23.25,12.7,1.15,5.99,6.77,4.43,6.96,4.34,4.84,22.26,2.83,5.83,3.29
h_1,24.22,28.58,24.62,23.8,24.17,26.19,1.91,12.53,4.94,5.38,4.98,4.44,5.72,11.03,4.57,5.01
g_1,27.99,38.63,28.46,31.9,30.61,31.17,6.78,1.91,6.34,5.53,6.17,6.02,6.41,3.4,6.77,13.44
c_0,29.98,41.85,17.27,,39.36,33.29,10.09,10.03,2.75,7.94,6.62,7.74,8.29,5.44,7.02,5.51
d_0,20.42,36.24,86.8,36.57,38.8,35.71,10.09,14.46,8.19,2.71,5.48,6.86,7.55,6.38,6.89,6.34
f_0,42.93,152.83,33.07,35.7,39.36,36.37,11.57,8.55,6.67,8.84,2.57,5.65,8.46,6.38,7.73,3.78
b_0,44.98,42.87,33.38,48.37,119.78,45.67,9.54,11.39,3.44,7.28,8.23,2.68,9.0,5.67,5.74,5.69
a_0,58.12,51.69,50.32,53.55,74.46,98.2,11.89,14.46,7.89,9.1,11.55,5.02,2.64,8.5,8.81,6.22
h_0,51.05,54.08,70.86,66.64,41.74,44.64,34.72,13.93,11.35,8.84,10.65,11.06,10.85,17.74,9.72,8.2
e_0,198.84,76.41,40.85,59.98,65.6,45.67,14.23,27.85,10.97,13.76,4.98,12.04,10.32,10.2,2.65,6.11
g_0,67.46,74.79,68.08,68.16,68.88,65.47,12.23,35.81,10.27,15.48,12.63,11.29,12.09,8.16,12.23,19.76
