,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.96,0.63,0.62,0.55,0.87,0.43,0.42,0.37,0.33,0.25,0.36,0.23,0.35,0.27,0.24,0.3
f_1,0.64,0.96,0.61,0.86,0.54,0.35,0.39,0.36,0.41,0.35,0.25,0.34,0.29,0.18,0.27,0.28
d_1,0.59,0.7,0.96,0.61,0.55,0.38,0.46,0.35,0.34,0.57,0.36,0.44,0.35,0.3,0.28,0.29
e_1,0.76,0.58,0.57,0.96,0.6,0.4,0.42,0.41,0.62,0.34,0.37,0.35,0.35,0.25,0.28,0.35
b_1,0.59,0.66,0.64,0.59,0.95,0.73,0.46,0.38,0.38,0.39,0.35,0.32,0.37,0.28,0.24,0.31
a_1,0.8,0.85,0.69,0.65,0.55,0.94,0.5,0.5,0.48,0.48,0.44,0.44,0.41,0.37,0.33,0.37
h_1,0.95,1.11,0.93,0.87,0.77,0.59,0.8,0.62,0.54,0.53,0.52,0.52,0.43,0.35,0.4,0.53
g_1,0.95,0.95,1.28,0.82,0.85,0.57,0.69,0.8,0.55,0.61,0.74,0.52,0.45,0.46,0.39,0.44
d_0,1.47,1.0,0.82,0.84,1.02,0.62,0.66,0.59,0.75,0.42,0.58,0.46,0.48,0.4,0.44,0.49
c_0,1.12,1.1,0.97,1.0,0.74,0.59,0.76,0.62,0.7,0.75,0.57,0.89,0.57,0.49,0.53,0.52
f_0,1.07,1.03,1.15,0.86,0.97,0.72,0.76,0.6,0.62,0.64,0.73,0.61,0.57,0.76,0.49,0.5
b_0,1.2,1.18,1.0,1.04,0.78,0.55,0.76,0.62,0.69,0.56,0.51,0.71,0.61,0.45,0.77,0.53
h_0,1.15,1.34,1.15,1.06,0.93,0.71,0.69,0.82,0.69,0.63,0.66,0.61,0.53,0.49,0.53,0.63
e_0,1.2,1.46,1.13,0.93,1.06,0.81,0.88,0.71,0.62,0.58,0.56,0.61,0.66,0.69,0.5,0.57
a_0,1.17,1.18,1.26,1.1,1.09,0.57,0.85,0.76,0.68,0.62,0.55,0.53,0.61,0.5,0.68,0.6
g_0,1.23,1.08,1.47,0.96,1.06,0.6,0.7,0.65,0.67,0.73,0.82,0.66,0.61,0.57,0.53,0.56
