,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,12.13,0.56,1.7,0.62,0.56,0.43,0.94,0.98,0.87,0.78,1.0,0.49,0.92,0.83,0.55,0.74
d_1,0.79,14.55,0.59,0.44,0.63,0.64,0.98,0.51,1.05,2.55,1.07,0.94,1.01,1.17,1.11,1.01
e_1,0.71,0.57,12.37,0.99,0.54,0.59,0.84,2.28,0.84,0.89,1.12,1.17,0.98,0.94,0.78,0.95
c_1,0.61,0.67,0.5,14.47,1.52,0.72,0.75,0.81,0.79,0.41,0.72,0.84,0.96,0.93,0.82,1.05
b_1,0.52,0.78,0.56,0.55,15.95,1.79,0.93,0.73,0.84,0.82,0.44,0.99,0.95,0.59,0.88,1.08
a_1,0.78,0.74,0.6,0.53,0.81,20.5,1.0,0.9,1.0,0.92,0.89,1.03,1.0,0.65,1.12,0.79
h_1,1.16,0.75,0.73,0.93,0.56,0.68,3.97,0.91,1.67,0.85,1.11,1.1,0.67,0.96,1.08,1.71
d_0,0.7,0.51,0.56,2.66,0.76,0.72,1.0,2.05,0.86,0.56,1.25,1.23,1.11,1.11,1.17,1.04
g_1,0.59,1.67,0.55,0.92,0.59,0.66,1.16,0.77,4.58,0.96,1.13,1.9,1.08,1.34,1.3,0.88
c_0,0.77,0.71,0.88,0.65,0.47,0.8,1.19,1.33,1.0,2.66,4.01,1.44,1.25,1.53,1.42,1.4
b_0,0.78,0.92,0.7,1.01,0.4,0.57,1.28,1.04,1.15,1.09,2.82,1.15,1.5,3.39,1.56,1.29
f_0,0.54,0.79,0.46,0.91,0.89,0.86,1.14,1.04,1.21,1.23,1.15,2.97,1.13,1.26,3.44,1.16
h_0,1.41,0.79,0.78,0.8,0.62,0.54,0.73,0.99,1.69,0.97,1.08,0.97,0.82,1.09,1.27,1.62
a_0,0.67,0.93,0.66,0.89,0.66,0.49,1.49,1.18,0.92,1.32,1.21,1.44,1.49,3.37,1.21,1.43
e_0,0.99,0.72,0.34,1.07,0.82,0.77,1.36,1.05,1.23,1.07,1.23,1.06,1.84,1.58,3.94,1.13
g_0,0.66,1.32,0.5,0.76,0.65,0.83,1.02,0.96,0.69,1.08,1.1,2.21,0.95,1.23,1.66,0.71
