,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.44,1.53,1.56,2.05,1.7,1.64,3.27,3.32,5.29,3.4,3.53,3.68,4.02,4.7,3.28,4.54
f_1,2.26,2.48,1.56,1.72,1.55,1.52,2.89,2.97,3.72,3.43,3.68,2.81,3.54,3.95,3.12,4.12
d_1,1.6,1.76,2.58,1.46,1.66,1.65,3.27,3.14,3.1,5.39,4.33,3.81,3.94,4.68,3.87,4.56
c_1,1.48,1.65,1.68,2.64,2.53,1.73,3.33,3.19,3.0,2.5,2.72,3.6,3.7,4.19,3.75,4.2
b_1,1.6,1.72,1.77,1.45,2.79,2.73,3.32,3.23,3.33,3.22,2.78,3.99,3.04,4.69,3.83,4.96
a_1,1.77,1.8,1.75,1.65,1.39,3.34,3.7,3.57,3.46,3.91,3.72,3.62,3.83,4.91,4.44,5.06
h_1,1.65,2.08,1.92,1.79,1.69,1.46,4.34,3.9,3.41,3.53,3.57,3.83,3.82,4.0,4.01,5.69
g_1,1.55,1.55,2.25,1.77,1.66,1.58,3.11,4.67,3.8,3.78,3.62,4.94,3.92,4.96,4.13,3.97
d_0,1.51,1.62,1.61,2.59,2.0,1.75,3.39,3.35,4.4,2.94,3.39,3.86,3.98,4.92,4.19,4.97
c_0,1.75,1.82,1.59,1.79,1.72,1.6,3.44,3.35,4.21,4.62,5.92,4.2,5.22,5.23,4.1,5.05
b_0,1.74,1.82,1.64,2.02,1.59,1.47,3.44,3.38,3.95,3.16,4.74,4.02,6.43,5.2,4.14,4.9
f_0,1.5,1.71,1.87,1.83,1.66,1.9,3.17,3.2,4.18,4.04,3.62,5.23,4.65,5.44,6.73,4.91
a_0,1.84,1.97,1.76,1.73,1.76,1.53,3.37,3.28,3.47,3.48,3.56,3.75,5.07,5.19,4.55,4.75
h_0,1.67,2.15,1.79,1.79,1.64,1.62,2.88,3.25,3.46,3.5,3.78,3.38,3.5,4.15,4.49,5.14
e_0,1.62,1.99,1.77,1.74,1.84,1.73,3.49,3.41,3.52,3.41,3.63,3.2,3.9,4.57,5.46,4.86
g_0,1.56,1.75,2.26,1.72,1.59,1.52,3.14,3.12,3.16,3.85,3.58,4.94,3.8,4.48,4.49,4.45
