,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.94,0.82,0.94,0.99,0.84,0.95,1.29,0.93,1.37,0.85,0.93,0.97,1.26,,1.0
d_1,1.06,1.0,1.01,1.17,0.82,0.97,1.12,,1.34,0.78,1.04,0.87,1.3,0.64,1.16,0.91
f_1,1.21,0.99,1.0,1.09,0.85,1.02,0.97,0.85,0.91,0.92,1.05,,0.85,1.37,1.18,1.15
c_1,1.06,0.85,0.92,1.0,1.5,0.95,1.2,0.7,,0.92,0.96,1.22,1.02,0.93,1.25,0.95
b_1,1.01,1.22,1.18,0.67,1.0,,0.93,0.98,1.02,1.08,,0.85,1.22,0.8,0.79,1.04
a_1,1.2,1.03,0.98,1.05,,1.0,1.22,1.02,1.02,,1.11,1.1,0.95,0.86,,
h_1,1.06,0.89,1.03,0.84,1.08,0.82,1.0,1.24,1.29,1.36,0.84,0.86,,1.02,0.95,0.92
d_0,0.77,,1.17,1.42,1.02,0.98,0.81,1.0,0.97,0.94,1.23,0.78,1.0,0.95,0.78,1.12
c_0,1.08,0.74,1.1,,0.98,0.98,0.77,1.03,1.0,0.84,1.45,1.06,0.96,1.31,0.94,0.84
g_1,0.73,1.28,1.08,1.09,0.93,,0.73,1.07,1.19,1.0,1.1,1.58,0.72,,0.91,
b_0,1.18,0.96,0.95,1.04,,0.9,1.19,0.81,0.69,0.91,1.0,1.1,1.04,1.3,1.11,1.44
f_0,1.08,1.15,,0.82,1.18,0.91,1.16,1.29,0.94,0.63,0.91,1.0,0.98,0.82,1.44,0.93
h_0,1.03,0.77,1.18,0.98,0.82,1.06,,1.0,1.04,1.4,0.96,1.02,,1.26,0.77,0.71
g_0,0.79,1.57,0.73,1.08,1.25,1.16,0.98,1.05,0.76,,0.77,1.22,0.79,,0.92,0.96
e_0,,0.86,0.85,0.8,1.26,,1.06,1.28,1.07,1.1,0.9,0.69,1.29,1.08,1.0,
a_0,1.0,1.1,0.87,1.06,0.96,,1.09,0.89,1.2,,0.7,1.08,1.41,1.04,,1.0
