,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.69,0.74,0.73,0.85,0.77,0.17,0.15,0.25,0.14,0.14,0.34,0.08,0.14,0.16,0.13
e_1,0.43,0.17,0.85,0.95,0.9,0.95,0.25,0.16,0.26,0.17,0.14,0.19,0.14,0.16,0.36,0.13
d_1,0.89,0.97,0.15,0.74,0.69,0.63,0.19,0.14,0.12,0.5,0.15,0.15,0.11,0.15,0.16,0.06
c_1,0.77,0.67,1.12,0.15,0.76,0.62,0.26,0.28,0.24,0.08,0.15,0.14,0.13,0.14,0.13,0.1
b_1,0.82,0.82,0.75,0.42,0.14,0.96,0.2,0.2,0.27,0.18,0.37,0.14,0.12,0.18,0.14,0.12
a_1,0.87,0.92,0.71,1.18,0.38,0.09,0.23,0.19,0.25,0.16,0.26,0.17,0.12,0.56,0.22,0.14
h_1,0.65,0.59,0.52,0.73,0.55,0.52,0.06,0.13,0.21,0.16,0.19,0.14,0.17,0.12,0.12,0.09
c_0,0.76,0.6,0.32,1.67,0.74,0.52,0.2,0.06,0.16,0.16,0.14,0.14,0.09,0.14,0.12,0.1
g_1,0.66,0.53,0.62,0.67,0.67,0.57,0.15,0.18,0.05,0.14,0.12,0.13,0.07,0.17,0.12,0.22
d_0,0.75,0.32,0.94,0.71,0.74,0.61,0.19,0.14,0.22,0.07,0.12,0.11,0.08,0.12,0.12,0.11
b_0,0.65,0.6,0.47,0.86,1.1,0.66,0.16,0.07,0.22,0.13,0.05,0.14,0.08,0.13,0.12,0.12
f_0,1.45,0.6,0.47,0.54,0.62,0.64,0.2,0.13,0.11,0.12,0.14,0.06,0.11,0.13,0.16,0.06
h_0,0.58,0.56,0.56,0.69,0.56,0.53,0.26,0.14,0.16,0.14,0.11,0.12,0.14,0.13,0.13,0.1
a_0,0.73,0.58,0.59,0.52,0.81,1.16,0.19,0.12,0.17,0.12,0.06,0.11,0.09,0.04,0.12,0.1
e_0,0.83,1.06,0.5,0.59,0.55,0.74,0.18,0.11,0.17,0.15,0.1,0.06,0.09,0.11,0.04,0.09
g_0,0.82,0.59,0.53,0.62,0.53,0.55,0.12,0.14,0.27,0.13,0.12,0.14,0.06,0.12,0.1,0.13
