,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.95,1.03,1.04,0.82,0.81,0.97,0.89,1.12,0.93,0.79,0.81,0.93,0.89,0.95
e_1,0.83,1.0,0.9,1.09,1.0,1.05,1.22,1.44,0.94,0.99,1.24,1.23,1.21,1.0,1.18,1.29
d_1,1.05,1.11,1.0,0.88,1.13,0.8,0.94,0.99,1.4,0.75,0.92,1.02,1.02,1.13,0.95,0.83
c_1,0.97,0.93,1.12,1.0,1.31,0.97,0.9,0.7,0.73,0.94,0.79,0.91,0.99,0.96,1.0,1.0
b_1,0.97,1.0,0.89,0.76,1.0,1.59,1.25,1.05,1.09,1.1,1.31,1.08,1.1,0.83,0.99,1.22
a_1,1.21,0.94,1.26,1.04,0.64,1.0,1.03,1.0,0.94,1.34,0.99,1.05,0.94,1.02,1.06,0.87
h_1,1.24,0.83,1.09,1.03,0.82,0.89,1.0,0.89,0.93,1.21,0.96,0.83,1.03,0.98,0.92,1.15
d_0,1.03,0.64,1.0,1.52,0.98,0.97,1.14,1.0,1.0,1.08,0.84,1.06,1.07,1.02,1.06,1.11
c_0,1.11,1.09,0.71,1.45,0.83,1.06,1.06,1.01,1.0,1.11,1.45,0.9,1.15,1.11,1.04,0.99
g_1,0.89,1.02,1.29,1.14,0.95,0.7,0.8,0.95,0.88,1.0,1.08,1.31,0.88,0.85,1.0,0.94
b_0,1.1,0.81,1.06,1.28,0.78,0.97,1.01,1.11,0.71,0.9,1.0,0.89,1.0,1.45,0.93,0.84
f_0,1.36,0.76,1.02,1.19,0.88,0.89,1.24,0.99,1.12,0.76,1.18,1.0,1.05,1.08,1.6,0.9
h_0,1.2,0.88,0.99,0.97,0.92,1.12,0.96,0.89,0.88,1.15,1.01,0.96,0.99,0.82,0.92,1.16
a_0,1.14,0.94,0.89,1.01,1.18,0.77,1.04,0.94,0.96,1.21,0.75,0.88,1.24,1.0,0.87,1.06
e_0,1.12,0.89,0.99,1.02,1.04,0.95,1.14,0.97,0.96,0.93,1.11,0.63,1.08,1.02,1.0,1.02
g_0,1.08,0.83,1.22,1.01,0.81,1.08,0.87,0.89,0.99,1.05,1.17,1.1,0.86,1.03,0.96,1.0
