,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.35,0.16,0.15,0.15,0.1,0.16,0.14,0.13,0.17,0.14,0.05,0.15,0.09,0.08,0.13
e_1,0.23,0.89,0.16,0.22,0.13,0.11,0.19,0.16,0.11,0.29,0.15,0.14,0.17,0.1,0.05,0.14
d_1,0.19,0.18,0.89,0.11,0.16,0.12,0.17,0.35,0.14,0.09,0.19,0.16,0.21,0.13,0.12,0.14
c_1,0.17,0.16,0.16,0.89,0.33,0.08,0.15,0.05,0.12,0.13,0.12,0.12,0.17,0.12,0.1,0.15
b_1,0.2,0.16,0.22,0.12,0.88,0.23,0.17,0.16,0.13,0.16,0.05,0.13,0.17,0.08,0.09,0.14
a_1,0.2,0.18,0.19,0.19,0.13,0.88,0.21,0.16,0.1,0.2,0.13,0.16,0.18,0.06,0.08,0.14
h_1,0.34,0.22,0.23,0.2,0.15,0.15,0.55,0.18,0.2,0.17,0.18,0.14,0.11,0.17,0.11,0.22
c_0,0.27,0.22,0.25,0.13,0.15,0.14,0.22,0.43,0.21,0.21,0.38,0.2,0.25,0.17,0.13,0.16
g_1,0.18,0.21,0.38,0.19,0.19,0.12,0.18,0.24,0.55,0.14,0.17,0.25,0.2,0.12,0.1,0.08
d_0,0.23,0.26,0.13,0.4,0.17,0.11,0.24,0.16,0.15,0.41,0.19,0.14,0.22,0.14,0.12,0.14
b_0,0.28,0.22,0.24,0.23,0.09,0.1,0.23,0.23,0.17,0.19,0.44,0.18,0.24,0.33,0.14,0.14
f_0,0.14,0.17,0.25,0.24,0.2,0.12,0.23,0.26,0.18,0.21,0.22,0.41,0.26,0.21,0.31,0.18
h_0,0.35,0.22,0.26,0.21,0.17,0.09,0.13,0.21,0.22,0.21,0.16,0.16,0.12,0.12,0.14,0.21
a_0,0.25,0.23,0.25,0.26,0.18,0.05,0.22,0.2,0.2,0.22,0.21,0.19,0.24,0.37,0.15,0.16
e_0,0.23,0.1,0.23,0.27,0.21,0.14,0.23,0.25,0.22,0.21,0.21,0.19,0.23,0.15,0.39,0.22
g_0,0.18,0.21,0.36,0.23,0.17,0.13,0.22,0.2,0.13,0.22,0.22,0.29,0.19,0.13,0.14,0.09
