,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,0.95,1.08,0.88,0.84,0.83,0.81,0.61,0.89,0.69,0.6,0.63,0.65,0.66,0.62
f_1,1.28,1.0,0.96,0.99,0.9,0.94,0.64,0.68,0.63,0.56,0.56,0.62,0.64,0.47,0.56,0.53
d_1,1.06,1.04,1.0,0.86,0.98,0.84,0.78,0.54,0.9,0.76,0.71,0.65,0.54,0.58,0.48,0.5
c_1,0.92,1.01,1.16,1.0,1.43,0.84,0.68,0.54,0.45,0.48,0.56,0.65,0.46,0.54,0.75,0.52
b_1,1.14,1.11,1.03,0.7,1.0,1.2,0.71,0.72,0.72,0.67,0.97,0.64,0.63,0.72,0.59,0.6
a_1,1.2,1.06,1.19,1.19,0.83,1.0,0.93,1.02,0.75,0.74,0.79,0.75,0.53,0.69,0.55,0.69
h_1,1.16,1.62,1.34,1.52,1.34,1.04,1.0,0.94,0.9,0.9,1.0,0.83,0.73,0.83,0.78,1.01
g_1,1.21,1.52,1.78,1.83,1.46,0.93,1.06,1.0,0.87,1.0,0.95,1.16,0.89,0.75,0.79,0.69
c_0,1.59,1.66,1.14,2.25,1.42,1.27,1.07,1.18,1.0,1.11,1.22,1.04,1.08,0.91,0.78,0.99
d_0,1.11,1.72,1.27,2.15,1.47,1.3,1.13,1.02,0.94,1.0,0.98,0.97,0.71,0.77,0.72,0.82
b_0,1.34,1.96,1.4,2.0,1.01,1.16,0.99,1.08,0.78,1.01,1.0,0.94,1.36,1.04,0.78,0.95
f_0,1.64,1.62,1.56,1.55,1.61,1.3,1.19,0.86,0.96,0.96,1.03,1.0,0.91,0.95,1.42,0.68
a_0,1.61,1.59,1.83,2.16,1.58,1.74,1.34,1.13,0.9,1.41,0.73,1.08,1.0,0.94,0.85,1.4
h_0,1.54,2.2,1.69,1.8,1.39,1.29,1.22,1.35,1.07,1.28,0.95,1.02,1.03,1.0,0.78,1.08
e_0,1.53,1.99,1.96,1.45,1.65,1.59,1.26,1.26,1.31,1.3,1.3,0.73,1.18,1.34,1.0,0.91
g_0,1.51,1.86,1.99,2.01,1.68,1.47,1.02,1.45,1.04,1.11,1.0,1.36,0.79,0.92,1.06,1.0
