,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,22.59,0.38,0.6,0.29,0.32,0.33,0.76,0.62,0.87,0.73,0.97,0.18,0.85,0.91,0.74,0.71
c_1,0.32,25.95,0.32,0.76,0.33,0.34,0.58,1.0,0.1,0.76,0.44,0.64,0.56,0.97,0.72,0.93
e_1,0.38,0.4,26.33,0.34,0.25,0.29,0.92,1.63,0.82,0.66,0.93,0.66,0.73,0.86,0.12,0.89
b_1,0.37,0.35,0.32,27.32,0.37,0.63,0.7,0.63,0.67,0.82,0.17,0.87,0.7,0.7,1.03,0.77
d_1,0.31,0.16,0.36,0.36,30.7,0.4,0.7,0.23,1.72,0.72,1.04,1.19,1.08,0.92,0.91,0.84
a_1,0.36,0.32,0.28,0.31,0.51,44.49,0.84,0.58,0.75,0.63,0.84,0.95,0.32,0.73,0.95,0.99
h_1,0.84,0.73,0.66,0.44,0.72,0.55,10.39,1.35,1.4,1.64,1.57,1.41,1.3,0.72,1.09,2.04
d_0,0.68,1.81,0.6,0.49,0.19,0.51,1.23,4.97,1.09,1.12,1.08,1.56,1.24,1.81,1.74,1.6
c_0,0.88,0.3,0.63,0.5,0.63,0.75,1.68,1.41,6.07,1.4,3.6,1.73,2.15,1.91,1.64,1.67
g_1,0.54,0.72,0.53,0.53,1.22,0.57,0.88,1.25,1.44,12.57,1.45,2.23,1.43,1.62,1.35,0.58
b_0,0.73,0.76,0.61,0.25,0.8,0.53,1.22,1.97,1.66,1.45,6.9,1.77,3.64,1.91,1.69,2.36
f_0,0.23,0.93,0.56,0.65,0.71,0.67,1.59,1.81,1.7,1.48,2.03,7.47,1.28,1.6,3.1,1.64
a_0,0.99,0.5,0.76,0.56,0.65,0.19,1.3,1.51,1.41,1.17,1.43,1.72,9.12,2.16,1.86,1.33
h_0,1.09,0.77,0.49,0.61,0.53,0.61,0.33,1.81,1.14,1.4,1.56,1.53,1.48,0.59,1.59,1.69
e_0,0.79,0.67,0.15,0.75,0.89,0.79,1.86,1.28,1.56,1.51,1.39,1.85,1.22,1.82,9.49,2.53
g_0,0.55,0.59,0.56,0.61,1.17,0.65,1.53,1.54,1.4,0.43,1.41,3.0,1.35,1.8,2.02,0.69
