,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.67,1.3,1.16,1.23,1.19,1.19,0.47,0.71,0.4,0.44,0.44,0.52,0.44,0.3,0.34,0.37
e_1,0.89,0.66,1.36,1.59,1.27,1.3,0.6,0.63,0.48,0.6,0.52,0.54,0.45,0.41,0.76,0.43
d_1,1.54,1.38,0.65,1.39,1.16,1.05,0.57,0.42,0.54,0.66,0.48,0.42,0.41,0.34,0.43,0.27
c_1,1.44,1.15,1.36,0.64,1.67,1.1,0.61,0.6,0.75,0.32,0.44,0.48,0.44,0.41,0.43,0.43
b_1,1.53,1.57,1.62,0.82,0.62,1.45,0.76,0.7,0.64,0.56,0.72,0.52,0.51,0.43,0.5,0.38
a_1,1.87,1.81,1.69,1.81,1.02,0.56,0.78,0.68,0.59,0.63,0.82,0.63,1.18,0.57,0.73,0.52
h_1,2.14,1.89,1.97,1.89,1.69,1.77,0.58,0.93,0.66,0.75,0.71,0.71,0.68,0.79,0.57,0.63
g_1,2.12,1.99,2.44,2.07,2.04,2.11,0.79,0.54,0.92,0.81,0.81,0.85,0.65,0.54,0.76,0.85
c_0,2.41,2.21,1.43,3.04,2.08,2.02,1.24,0.84,0.6,1.08,1.04,0.81,0.79,0.67,0.78,0.72
d_0,2.14,1.37,3.16,2.84,2.38,2.24,1.0,1.03,0.72,0.6,0.74,0.86,0.77,0.66,0.83,0.65
b_0,2.2,2.21,1.98,2.78,2.98,2.58,0.99,1.04,0.51,0.94,0.58,0.83,0.92,0.79,0.91,0.66
f_0,3.42,2.33,2.43,2.21,2.09,2.17,1.08,0.74,0.83,0.8,0.86,0.58,0.78,0.7,0.91,0.46
a_0,2.64,2.52,2.5,2.7,2.92,2.58,1.14,1.09,0.84,1.05,0.59,0.94,0.57,0.85,0.94,0.66
h_0,2.78,2.55,2.63,2.6,2.69,2.19,1.26,1.11,0.95,0.91,0.79,0.88,0.73,1.01,0.75,0.81
e_0,3.73,3.56,2.63,2.73,2.67,1.99,1.33,0.93,0.98,0.96,0.87,0.6,0.9,0.84,0.55,0.7
g_0,3.14,2.86,3.06,2.69,3.15,2.1,0.98,1.53,0.94,1.12,0.96,1.1,0.91,0.7,1.06,0.94
