,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,2.42,2.18,1.8,1.97,1.63,0.72,0.88,0.7,0.76,0.68,1.27,0.47,0.64,0.67,0.68
e_1,1.31,0.67,2.11,1.87,2.36,1.8,1.1,1.06,1.07,0.84,0.77,0.95,0.66,0.68,1.64,0.65
d_1,2.18,2.15,0.65,2.51,2.19,2.18,0.88,0.6,1.7,0.83,0.74,0.65,0.53,0.65,0.77,0.43
c_1,2.09,2.42,2.25,0.65,2.52,1.51,1.13,0.93,0.44,1.28,0.75,0.67,0.56,0.76,0.78,0.62
b_1,2.44,2.11,2.17,1.3,0.62,3.5,1.16,1.22,0.96,1.0,2.77,0.96,0.81,0.93,0.77,0.75
a_1,3.06,3.12,2.53,3.88,1.33,0.57,1.23,1.19,0.89,1.12,1.25,0.89,0.87,1.87,0.89,0.71
h_1,3.05,2.16,2.91,2.91,1.99,2.21,0.61,1.56,1.03,0.97,1.02,0.96,2.21,0.85,0.98,0.85
g_1,2.88,2.98,3.07,2.94,2.72,2.75,0.81,0.58,0.95,0.81,1.04,1.14,0.73,0.83,0.76,1.34
d_0,3.7,1.66,5.33,3.69,2.36,3.06,1.32,1.66,0.67,1.09,1.0,0.89,0.84,1.21,0.92,0.92
c_0,3.23,2.8,1.91,8.32,2.79,2.65,1.44,1.46,1.26,0.66,1.35,1.11,1.02,1.42,0.78,0.94
b_0,3.16,3.0,2.64,3.99,4.52,2.81,1.43,1.15,1.08,0.6,0.62,0.96,0.79,1.13,0.88,0.85
f_0,6.63,2.32,3.1,3.62,3.02,2.95,1.41,1.05,1.32,1.09,1.1,0.63,1.06,0.99,1.19,0.63
h_0,3.99,2.91,3.31,3.68,3.84,3.47,1.76,1.58,1.23,0.94,1.14,1.08,1.52,1.19,0.9,1.12
a_0,3.89,3.91,3.13,3.16,3.97,5.15,1.78,1.82,1.39,1.01,0.82,1.27,0.91,0.61,1.23,0.88
e_0,4.15,5.13,3.03,3.81,3.46,2.87,1.5,1.81,1.24,1.29,1.21,0.73,1.28,0.95,0.59,0.84
g_0,4.15,3.42,3.59,4.28,3.53,3.8,1.37,2.01,1.37,1.1,1.46,1.32,0.91,1.25,1.31,1.48
