,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,1.15,1.28,1.6,3.34,22.26,28.33,40.36,34.38,46.4,67.7,77.12,99.55,,108.77
f_1,1.34,1.0,1.18,1.64,1.64,3.0,14.62,25.63,26.46,36.04,45.62,,61.13,119.94,139.05,134.25
d_1,0.87,0.85,1.0,1.01,1.17,2.86,19.27,18.21,,37.3,36.26,40.71,67.94,88.17,73.33,73.67
c_1,0.78,0.61,0.99,1.0,1.54,3.11,11.0,23.59,17.58,,35.58,41.39,55.33,56.29,87.45,121.68
b_1,0.63,0.61,0.85,0.65,1.0,2.41,12.81,19.12,18.23,21.6,,33.42,47.75,78.33,88.27,69.57
a_1,0.3,0.33,0.35,0.32,0.41,1.0,7.08,7.24,9.34,10.36,11.9,22.29,18.24,,,31.61
h_1,0.04,0.07,0.05,0.09,0.08,0.14,1.0,2.05,1.22,1.42,2.06,2.13,,4.25,5.21,7.76
g_1,0.04,0.04,0.05,0.04,0.05,0.14,0.49,1.0,1.26,1.22,1.63,2.61,2.53,,,
d_0,0.02,0.04,,0.06,0.05,0.11,0.82,0.8,1.0,0.99,1.82,1.83,2.25,3.98,4.97,5.47
c_0,0.03,0.03,0.03,,0.05,0.1,0.7,0.82,1.01,1.0,1.93,1.91,1.98,2.86,2.56,3.43
b_0,0.02,0.02,0.03,0.03,,0.08,0.49,0.62,0.55,0.52,1.0,1.01,2.07,3.56,3.32,3.83
f_0,0.01,,0.02,0.02,0.03,0.04,0.47,0.38,0.55,0.52,0.99,1.0,1.29,,2.78,2.24
h_0,0.01,0.02,0.01,0.02,0.02,0.05,,0.4,0.44,0.51,0.48,0.77,,0.95,1.13,1.92
a_0,0.01,0.01,0.01,0.02,0.01,,0.24,,0.25,0.35,0.28,,1.06,1.0,,1.43
e_0,,0.01,0.01,0.01,0.01,,0.19,,0.2,0.39,0.3,0.36,0.89,,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,,0.18,0.29,0.26,0.45,0.52,0.7,,
