,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.09,1.04,0.85,0.88,0.67,0.46,0.35,0.55,0.46,0.46,0.36,0.36,0.29,0.31,0.27
e_1,0.9,1.0,0.77,1.13,0.89,0.71,0.57,0.49,0.43,0.59,0.44,0.42,0.36,0.34,0.34,0.35
f_1,0.96,1.29,1.0,1.0,0.83,0.66,0.44,0.42,0.37,0.42,0.38,0.36,0.29,0.31,0.3,0.26
c_1,1.2,0.89,1.01,1.0,1.27,0.74,0.54,0.5,0.37,0.31,0.31,0.33,0.37,0.35,0.3,0.35
b_1,1.15,1.12,1.22,0.8,1.0,1.23,0.52,0.5,0.52,0.5,0.46,0.46,0.43,0.39,0.28,0.36
a_1,1.52,1.4,1.45,1.37,0.82,1.0,0.72,0.64,0.64,0.63,0.71,0.6,0.56,0.39,0.53,0.42
h_1,2.15,1.72,2.31,1.85,1.96,1.46,1.0,1.11,0.89,0.79,0.8,0.76,0.74,0.77,0.72,0.65
g_1,2.89,2.05,2.34,1.95,2.08,1.49,0.89,1.0,0.96,0.81,0.89,0.92,0.69,0.74,0.76,0.76
c_0,1.89,2.25,2.63,2.66,1.93,1.49,1.13,1.05,1.0,1.17,1.27,0.86,0.9,0.75,0.91,0.77
d_0,2.25,1.69,2.4,3.1,2.05,1.56,1.22,1.27,0.78,1.0,0.86,0.89,0.85,0.8,0.78,0.84
b_0,2.27,2.21,2.68,3.24,2.16,1.26,1.23,1.08,0.78,1.12,1.0,0.83,0.93,0.79,1.31,0.79
f_0,2.8,2.32,2.67,2.89,2.33,1.74,1.3,1.09,1.19,1.17,1.14,1.0,1.08,0.71,0.87,1.14
h_0,2.84,2.81,3.41,2.65,2.27,1.83,1.34,1.48,1.11,1.17,1.06,0.9,1.0,1.09,0.76,0.83
g_0,3.51,2.84,3.16,2.98,2.72,2.59,1.3,1.36,1.33,1.29,1.22,1.48,0.9,1.0,0.99,1.01
a_0,3.16,2.83,3.32,3.53,3.6,2.06,1.42,1.34,1.11,1.27,0.86,1.11,1.36,1.04,1.0,0.99
e_0,3.38,2.92,3.78,2.93,2.79,2.25,1.56,1.33,1.28,1.23,1.31,0.91,1.24,0.98,1.11,1.0
