,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.56,0.66,0.57,0.89,0.6,0.57,0.96,1.7,0.79,0.81,1.0,1.18,0.91,0.68,0.9,0.88
f_1,1.34,2.67,0.58,0.46,0.48,0.51,0.82,0.81,0.82,1.07,0.47,0.89,0.97,0.61,1.09,0.78
d_1,0.55,0.74,2.88,0.5,0.65,0.58,0.92,0.44,0.99,1.8,0.94,1.05,0.89,0.96,0.83,0.98
c_1,0.49,0.57,0.6,2.82,1.32,0.61,0.96,0.88,0.75,0.33,1.01,0.63,0.98,0.91,0.7,0.97
b_1,0.57,0.58,0.7,0.67,3.11,1.33,0.84,0.87,0.78,0.83,0.94,0.49,0.98,1.0,0.65,1.0
a_1,0.59,0.86,0.73,0.69,0.55,4.33,0.76,0.92,0.92,0.63,0.92,0.89,1.22,1.15,0.64,0.88
h_1,0.67,1.14,0.91,0.81,0.7,0.63,2.63,0.91,1.62,1.07,1.09,1.14,0.73,1.15,1.28,1.68
d_0,0.69,0.71,0.51,1.53,0.82,0.72,1.17,1.92,1.11,0.75,1.21,1.29,1.1,1.19,1.4,1.23
g_1,0.68,0.72,1.25,0.83,0.74,0.79,1.03,0.8,3.18,1.08,1.84,0.96,1.04,1.16,1.1,0.78
c_0,0.91,0.86,1.02,0.5,0.48,0.78,1.17,1.23,1.03,2.22,1.21,2.31,1.17,1.12,1.63,1.41
f_0,0.6,0.54,0.9,1.02,0.87,0.83,1.14,1.13,1.28,1.12,2.42,1.17,1.14,2.49,1.23,1.25
b_0,0.79,1.08,0.78,0.96,0.36,0.43,1.25,1.19,1.33,1.1,1.08,2.62,1.17,1.4,2.9,1.27
h_0,0.75,1.09,0.87,0.8,0.67,0.81,0.86,1.18,1.49,1.1,1.09,1.13,0.86,1.15,1.07,1.5
e_0,0.53,0.93,0.77,0.9,0.65,0.71,1.38,1.09,1.41,1.19,1.11,1.28,1.69,3.36,1.66,1.43
a_0,0.88,0.79,0.9,0.88,0.69,0.4,1.34,1.12,1.42,1.33,1.1,1.32,1.06,1.03,2.87,1.2
g_0,0.65,0.71,1.39,0.71,0.79,0.7,1.06,0.91,0.79,1.35,1.92,1.06,1.13,1.23,1.42,0.88
