,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.19,1.61,1.4,1.53,1.02,0.52,0.54,0.62,0.45,0.51,0.58,0.28,0.48,0.34,0.42
d_1,1.61,0.65,1.45,1.36,1.2,1.25,0.74,0.75,0.48,0.7,0.51,0.51,0.42,0.5,0.48,0.3
e_1,0.9,1.63,0.65,1.65,1.43,1.4,0.64,0.68,0.75,0.47,0.54,0.64,0.5,0.49,0.83,0.48
c_1,1.47,1.79,1.23,0.64,1.81,1.45,0.55,0.33,0.64,0.73,0.47,0.48,0.46,0.48,0.43,0.42
b_1,1.55,1.63,1.63,0.97,0.62,1.58,0.85,0.64,0.67,0.68,0.91,0.5,0.52,0.54,0.69,0.49
a_1,2.82,1.8,1.61,1.66,1.05,0.58,0.86,0.68,0.99,0.65,0.69,0.64,0.58,0.95,0.66,0.47
h_1,2.22,1.99,2.19,2.58,1.98,1.89,0.57,0.77,0.97,0.75,0.72,0.77,0.76,0.61,0.69,0.74
d_0,2.37,3.49,1.4,2.63,2.61,2.36,1.23,0.63,0.97,0.76,0.86,0.82,0.68,0.72,0.88,0.68
g_1,2.44,2.4,2.36,2.34,2.4,1.97,0.87,0.99,0.55,0.88,0.84,0.98,0.56,0.91,0.73,1.13
c_0,2.82,1.39,2.59,3.93,2.35,2.18,1.16,1.2,1.11,0.62,1.13,0.81,0.82,0.75,0.79,0.71
b_0,2.49,2.49,2.22,2.88,3.77,2.45,1.08,0.77,1.01,0.51,0.61,0.84,0.78,0.98,0.85,0.68
f_0,4.46,2.32,2.34,2.81,2.64,2.52,1.11,0.9,0.81,0.9,0.93,0.6,0.76,0.85,1.1,0.52
h_0,3.25,2.55,2.48,2.79,2.42,2.23,1.51,1.17,1.28,0.93,0.87,1.0,1.09,0.75,0.76,0.95
a_0,3.28,2.38,2.7,2.99,3.63,3.69,1.53,1.11,1.18,1.19,0.6,1.08,0.99,0.57,0.77,0.76
e_0,5.23,2.64,3.32,3.28,3.07,2.19,1.35,1.09,1.2,1.07,0.92,0.59,0.88,1.18,0.55,0.73
g_0,3.15,3.45,2.73,3.04,2.7,3.05,1.07,1.17,1.45,1.08,1.03,1.1,0.66,0.86,1.02,1.11
