,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.99,0.9,0.85,0.66,0.43,0.42,0.4,0.41,0.39,0.41,0.3,0.33,0.26,0.31
e_1,0.81,1.0,1.15,0.91,0.98,0.57,0.52,0.57,0.56,0.42,0.41,0.44,0.31,0.32,0.28,0.34
c_1,1.01,0.87,1.0,1.14,1.17,0.88,0.53,0.47,0.33,0.31,0.41,0.36,0.35,0.32,0.37,0.32
d_1,1.12,1.1,0.87,1.0,0.99,0.67,0.49,0.38,0.42,0.56,0.5,0.38,0.42,0.34,0.35,0.23
b_1,1.18,1.02,0.86,1.01,1.0,1.21,0.56,0.5,0.53,0.58,0.37,0.44,0.4,0.34,0.34,0.4
a_1,1.51,1.75,1.14,1.48,0.83,1.0,0.8,0.62,0.55,0.51,0.57,0.48,0.51,,0.42,0.37
h_1,2.33,1.96,1.98,2.03,1.71,1.32,1.0,0.99,0.82,0.77,0.79,0.71,0.86,0.68,0.59,0.82
g_1,2.44,1.72,2.2,2.59,1.88,1.64,1.04,1.0,0.94,0.91,0.9,1.22,0.63,1.05,0.88,0.76
d_0,2.58,1.69,3.24,2.39,1.81,1.8,1.14,1.08,1.0,0.88,0.91,0.9,0.83,0.79,0.74,0.89
c_0,2.49,2.36,3.08,1.8,1.89,1.96,1.31,1.07,1.16,1.0,1.23,0.83,1.06,0.96,0.82,0.83
b_0,2.62,2.52,2.58,2.13,2.9,1.71,1.25,1.09,1.08,0.77,1.0,1.1,1.03,1.08,0.95,1.04
f_0,2.78,2.2,2.81,2.42,2.31,1.92,1.41,0.86,1.08,1.21,0.9,1.0,0.98,0.87,1.18,0.86
h_0,3.44,3.07,2.75,2.42,2.51,1.89,1.19,1.57,1.16,0.95,0.95,1.01,1.0,0.93,0.72,1.02
a_0,3.04,3.17,3.15,2.82,2.69,,1.52,0.95,1.13,1.09,0.88,1.09,1.0,1.0,0.76,0.86
e_0,3.91,3.19,2.74,2.93,2.85,2.29,1.71,1.19,1.38,1.19,1.06,0.9,1.58,1.34,1.0,1.02
g_0,3.26,2.86,3.19,4.09,2.52,2.61,1.21,1.26,1.16,1.09,0.97,1.18,0.95,1.11,0.98,1.0
