,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,24.76,0.31,0.75,0.35,0.26,0.37,0.7,0.57,0.77,0.6,0.13,0.76,0.79,0.78,0.84,0.43
d_1,0.43,26.19,0.31,0.26,0.33,0.23,0.68,0.83,0.25,1.56,0.93,1.02,1.09,0.89,0.86,0.78
e_1,0.34,0.26,25.01,0.33,0.37,0.41,0.78,0.64,1.46,0.86,0.84,0.85,1.05,0.95,0.63,0.19
c_1,0.36,0.36,0.29,26.65,0.76,0.21,0.72,0.6,0.8,0.12,0.71,0.65,0.86,0.84,0.85,0.98
b_1,0.37,0.33,0.29,0.38,29.66,0.67,0.76,0.62,0.72,0.81,0.79,0.18,0.8,0.88,0.56,0.93
a_1,0.33,0.4,0.29,0.35,0.3,48.99,0.73,0.77,0.83,0.87,1.02,0.79,0.8,0.73,,0.71
h_1,0.85,0.54,0.48,0.85,0.51,0.5,9.56,1.78,1.41,1.38,1.41,1.73,0.53,2.45,1.54,2.02
g_1,0.5,1.02,0.6,0.83,0.45,0.73,0.95,12.01,1.23,1.73,2.31,1.41,1.45,0.38,1.23,1.73
d_0,0.64,0.27,0.62,1.37,0.65,0.72,1.5,1.51,5.64,1.25,0.97,1.45,1.17,1.36,1.7,1.38
c_0,0.65,0.69,0.68,0.25,0.53,0.86,1.64,1.83,1.56,5.93,2.27,3.31,1.93,1.67,1.89,1.89
f_0,0.18,0.83,0.57,0.7,0.75,0.73,1.6,1.82,1.36,1.69,6.75,1.78,1.63,1.65,1.8,4.07
b_0,0.69,0.89,0.49,0.97,0.2,0.64,1.24,1.04,1.77,1.25,1.76,6.08,1.73,1.54,3.55,1.9
h_0,1.06,0.71,0.53,0.53,0.69,0.61,0.42,1.98,1.1,1.4,1.86,1.27,0.49,1.95,1.54,1.32
g_0,0.5,1.2,0.57,0.66,0.5,0.63,1.31,0.61,1.4,1.66,2.42,1.87,1.23,0.51,1.43,1.8
a_0,0.59,0.87,0.7,0.76,0.58,,1.75,1.14,1.48,0.82,1.78,1.31,1.92,2.06,9.3,1.18
e_0,0.59,0.95,0.21,0.65,0.62,0.76,1.57,2.03,1.46,1.61,1.56,2.04,2.07,1.94,2.24,9.89
