,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.15,44.95,100.03,81.18,68.17,85.95,26.84,24.76,14.67,20.03,16.49,21.95,23.53,10.54,,12.12
f_1,86.77,1.15,82.52,117.26,87.34,111.24,13.64,35.9,21.09,16.44,18.48,,15.41,7.85,18.35,10.86
d_1,100.84,119.87,1.15,77.22,96.38,118.19,25.21,14.65,,18.85,20.33,15.09,24.83,11.08,20.39,9.26
c_1,84.8,89.9,110.03,1.15,111.8,99.53,28.69,27.62,11.64,,26.52,21.0,19.43,10.05,19.32,14.32
b_1,120.35,97.19,110.03,51.06,1.15,90.05,32.0,32.64,25.0,29.14,,32.2,17.88,17.28,24.47,21.0
a_1,138.19,189.26,275.08,197.87,87.34,1.15,64.0,55.23,30.68,42.73,40.67,21.95,,20.57,24.47,
h_1,81.11,94.63,91.69,85.57,90.16,126.07,2.0,20.51,20.45,22.1,21.79,24.15,21.29,,14.68,14.32
g_1,128.66,156.35,110.03,102.13,87.34,99.53,21.89,2.0,27.0,24.65,22.59,34.5,20.32,18.78,18.35,
d_0,65.46,85.62,,81.18,93.17,111.24,21.89,25.64,2.97,21.37,15.64,13.42,29.8,13.94,16.68,13.12
c_0,81.11,128.43,50.02,,186.33,82.22,29.71,28.72,17.76,2.97,17.94,17.89,16.56,14.4,26.21,13.12
b_0,103.64,99.89,97.09,166.63,,99.53,27.73,37.79,20.45,11.05,2.81,23.0,18.62,14.9,21.59,17.5
f_0,177.67,,132.04,166.63,139.75,135.07,36.17,19.94,28.12,23.74,21.79,3.0,22.35,25.41,19.32,10.86
a_0,133.25,133.19,194.18,121.77,174.69,,39.62,44.88,33.75,25.64,16.94,24.15,3.15,16.62,,18.53
h_0,103.64,92.21,97.09,121.77,79.86,67.54,,29.92,16.07,18.85,20.33,18.58,15.41,,16.68,11.67
e_0,,256.86,157.19,166.63,254.09,171.91,43.79,42.24,37.5,27.87,32.11,16.66,,25.41,3.14,17.5
g_0,219.47,143.84,103.16,137.65,116.46,,32.0,,22.5,20.68,46.92,32.2,23.53,12.34,26.21,
