,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.34,1.13,1.07,1.63,1.18,1.26,2.49,4.4,2.46,2.26,2.62,2.65,3.33,2.57,2.89,3.65
f_1,1.77,2.42,1.12,1.17,1.26,1.05,2.01,2.43,2.13,2.4,2.82,1.54,2.96,2.02,2.88,2.81
d_1,1.22,1.31,2.57,1.09,1.12,1.03,2.42,2.02,2.23,4.18,3.03,2.97,3.36,3.19,2.76,2.96
c_1,0.96,1.3,1.25,2.61,2.0,1.21,2.39,1.83,2.46,1.42,2.41,2.64,3.18,2.35,2.43,3.21
b_1,1.25,1.15,1.23,1.0,2.72,2.17,2.42,2.61,2.41,2.35,1.85,2.98,4.01,2.55,2.37,3.51
a_1,1.1,1.5,1.42,1.24,0.94,3.35,2.75,2.79,2.34,3.34,2.93,2.85,3.36,2.99,1.76,3.93
h_1,1.3,1.77,1.33,1.35,1.35,1.18,4.12,2.73,3.26,2.7,2.84,2.43,2.94,3.02,2.94,4.26
d_0,1.16,1.32,1.03,2.43,1.32,1.33,2.59,4.0,2.53,2.46,2.72,3.39,3.44,2.87,3.16,4.07
g_1,1.3,1.18,2.09,1.11,1.24,1.39,2.24,2.56,4.55,3.03,2.83,4.39,3.34,3.3,3.4,2.91
c_0,1.55,1.47,1.4,1.11,1.24,1.07,2.84,2.62,2.69,4.18,5.01,3.07,3.72,3.57,3.52,3.55
b_0,1.64,1.34,1.43,1.34,0.79,1.15,2.73,3.14,2.78,2.68,4.41,3.21,4.16,3.44,6.15,3.53
f_0,1.29,1.36,1.47,1.32,1.3,1.35,3.38,2.9,2.57,3.31,3.19,4.51,3.82,5.29,2.47,3.79
h_0,1.34,1.7,1.54,1.39,1.02,1.25,1.98,2.96,3.26,2.88,3.06,3.17,2.65,3.18,2.84,4.97
e_0,0.97,1.85,1.3,1.5,1.19,1.27,3.01,3.0,2.56,3.3,3.15,3.07,3.83,5.32,2.77,4.1
a_0,1.37,1.49,1.53,1.42,1.22,0.88,2.65,2.79,2.99,2.79,2.54,3.44,4.03,4.06,5.28,3.67
g_0,1.15,1.29,1.9,1.51,1.36,1.15,2.5,2.35,2.4,2.98,2.94,4.32,3.03,3.09,2.93,3.1
