,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.15,50.97,100.91,110.8,80.57,72.0,20.2,39.11,18.11,17.49,17.76,16.09,10.14,,20.11,22.56
f_1,134.88,1.15,90.0,77.3,82.81,106.11,14.96,33.52,18.11,17.0,,18.86,10.65,19.35,10.65,13.88
d_1,100.2,106.72,1.15,87.47,82.81,106.11,26.06,14.08,,21.1,16.74,21.88,15.21,21.5,7.87,19.0
c_1,92.29,103.48,104.06,1.15,87.68,118.59,27.86,24.28,8.57,,18.9,21.88,10.65,17.59,14.48,22.56
b_1,79.7,106.72,104.06,67.84,1.15,106.11,33.67,32.0,17.14,23.54,15.03,,18.52,20.37,16.45,
a_1,206.29,189.72,195.88,132.96,106.46,1.15,36.73,46.93,33.37,36.0,34.47,27.35,23.67,,13.92,
h_1,92.29,75.89,118.93,127.85,114.65,80.64,2.0,20.11,19.81,23.54,30.84,19.54,,16.83,10.65,19.0
g_1,159.41,148.48,158.57,118.71,119.24,134.4,27.86,2.0,19.21,27.82,19.53,26.05,9.91,16.83,,21.24
d_0,53.95,100.44,,73.87,110.41,100.8,26.93,28.16,3.19,17.49,17.24,20.26,17.04,,12.48,17.19
c_0,87.68,87.56,51.23,,96.16,87.65,26.93,39.11,24.38,3.2,21.7,24.86,12.91,19.35,12.07,21.24
f_0,116.9,,104.06,103.88,110.41,118.59,33.67,24.28,20.45,16.54,2.9,15.63,15.78,29.77,10.06,25.79
b_0,116.9,106.72,97.94,123.11,,96.0,28.86,24.28,28.82,10.2,39.07,3.04,15.78,22.76,32.91,25.79
h_0,109.59,77.61,104.06,97.76,76.44,144.0,,25.14,16.26,19.74,23.44,16.09,,16.12,14.48,14.44
e_0,,179.74,144.78,166.2,149.05,,50.5,41.41,,34.0,15.03,32.18,25.06,2.85,24.13,27.77
g_0,103.15,213.44,95.14,123.11,175.35,91.64,23.76,,23.48,21.86,27.9,26.05,9.47,27.64,,
a_0,233.8,155.23,166.5,158.29,,,62.15,44.0,37.29,29.14,30.84,18.86,23.67,32.25,,3.17
