,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.29,0.92,1.08,1.04,0.82,0.85,0.91,1.18,0.85,1.07,0.71,0.89,0.83,0.82,1.03
e_1,0.77,1.0,0.95,1.12,0.86,1.14,1.15,1.31,1.11,1.12,0.82,1.12,1.03,1.08,1.48,1.1
d_1,1.09,1.05,1.0,0.83,0.93,0.95,0.97,1.25,0.83,1.33,1.05,0.89,1.09,1.09,1.13,0.75
c_1,0.93,0.89,1.2,1.0,1.29,0.96,1.07,0.75,0.87,0.95,0.98,1.07,1.21,0.95,1.01,0.96
b_1,0.97,1.16,1.07,0.77,1.0,1.56,1.08,1.03,0.94,0.92,1.26,0.77,0.86,0.81,0.67,0.83
a_1,1.22,0.88,1.05,1.04,0.64,1.0,1.03,1.11,0.9,1.13,1.23,1.33,1.03,1.41,1.21,1.34
h_1,1.2,0.86,1.01,0.97,0.95,0.89,1.0,1.01,1.43,0.9,0.93,0.95,0.92,0.87,0.98,1.21
d_0,1.08,0.74,0.86,1.36,0.99,0.96,1.03,1.0,0.84,0.95,0.91,1.12,0.96,0.95,0.96,1.21
g_1,0.89,0.89,1.2,1.08,1.06,1.07,0.7,1.14,1.0,0.76,0.92,1.22,0.97,1.03,1.06,0.88
c_0,1.19,0.84,0.77,1.1,1.05,0.93,1.14,1.1,1.3,1.0,1.42,1.03,1.13,1.17,1.02,1.18
b_0,0.98,1.15,0.93,1.09,0.88,0.75,1.18,1.05,1.1,0.71,1.0,1.05,0.96,1.4,1.0,0.87
f_0,1.29,0.88,1.11,0.92,1.31,0.71,1.02,0.9,0.78,1.01,0.98,1.0,0.98,0.9,1.3,0.86
h_0,1.18,0.92,0.89,0.89,1.13,0.96,1.09,1.01,1.05,0.9,0.97,1.0,1.0,1.1,0.94,1.36
a_0,1.26,0.93,0.91,1.05,1.35,,1.15,1.05,1.05,0.9,0.72,1.04,0.93,1.0,1.25,1.09
e_0,1.31,0.69,0.87,1.04,1.38,0.79,1.02,1.05,0.97,0.99,1.02,0.73,1.03,0.83,1.0,1.38
g_0,0.96,0.87,1.32,0.97,1.13,0.73,0.86,0.82,1.17,0.86,0.99,1.24,0.77,0.93,0.82,1.0
